IDFemaleAgingColony,FAC1342,FAC1205,FAC1403,FAC1409,FAC1414,FAC1395,FAC1180,FAC1398,FAC879,FAC1206,FAC1031,FAC1449,FAC2057,FAC1255,FAC1198,FAC1195,FAC2058,FAC1817,FAC1197,FAC1069,FAC773,FAC1080,FAC770,FAC1503,FAC1481,FAC1491,FAC1375,FAC2061,FAC1631,FAC1181,FAC886,FAC1158,FAC938,FAC1317,FAC1285,FAC1259,FAC1289,FAC1355,FAC887,FAC622,FAC624,FAC1318,FAC1072,FAC1286,FAC1157,FAC1070,FAC896,FAC707,FAC708,FAC890,FAC1293,FAC1344,FAC1428,FAC1248,FAC1427,FAC974,FAC1292,FAC1282,FAC1232,FAC1254,FAC1228,FAC1217,FAC973,FAC1278,FAC1296,FAC1249,FAC1358,FAC1345,FAC629,FAC347,FAC1997,FAC1011,FAC269,FAC1288,FAC984,FAC1311,FAC983,FAC1223,FAC982,FAC681,FAC1093,FAC1002,FAC899,FAC254,FAC979,FAC1472,FAC1738,FAC1497,FAC894,FAC1648,FAC1390,FAC1379,FAC1462,FAC1474,FAC1426,FAC1875,FAC1401,FAC1910,FAC882,FAC1694,FAC1429,FAC1501,FAC1616,FAC1313,FAC1707,FAC1630,FAC1041,FAC1191,FAC1466,FAC1689,FAC1417,FAC1735,FAC1618,FAC1126,FAC1349,FAC1169,FAC1201,FAC1700,FAC1302,FAC1290,FAC2140,FAC1369,FAC1350,FAC1305,FAC1536,FAC1170,FAC1148,FAC1269,FAC1457,FAC1404,FAC1847,FAC1629,FAC1125,FAC059,FAC226,FAC422,FAC173,FAC222,FAC161,FAC1145,FAC1215,FAC192,FAC1226,FAC1203,FAC1185,FAC1453,FAC1575,FAC1588,FAC1594,FAC1596,FAC1382,FAC1549,FAC1478,FAC1456,FAC1130,FAC948,FAC1571,FAC1662,FAC1674,FAC1105,FAC1611,FAC1219,FAC1362,FAC1268,FAC1164,FAC1347,FAC1327,FAC1247,FAC1385,FAC1625,FAC1283,FAC1022,FAC945,FAC218,FAC910,FAC229,FAC230,FAC762,FAC1055,FAC414,FAC989,FAC1117,FAC1039,FAC913,FAC929,FAC1035,FAC1178,FAC922,FAC924,FAC1137,FAC169,FAC168,FAC1032,FAC1082,FAC1209,FAC1337,FAC1638,FAC1529,FAC1666,FAC1686,FAC217,FAC206,FAC211,FAC248,FAC524,FAC509,FAC541,FAC533,FAC640,FAC820,FAC818,FAC745,FAC342,FAC004,FAC500,FAC1046,FAC986,FAC1042,FAC225,FAC429,FAC1176,FAC933,FAC279,FAC1581,FAC1312,FAC712,FAC1004,FAC488,FAC715,FAC573,FAC1323,FAC1432,FAC1609,FAC1810,FAC1443,FAC758,FAC2015,FAC1603,FAC219,FAC1598,FAC1612,FAC1372,FAC1025,FAC587,FAC482,FAC132,FAC719,FAC306,FAC898,FAC2083,FAC234,FAC507,FAC998,FAC1063,FAC205,FAC133,FAC705,FAC907,FAC645,FAC794,FAC163,FAC1632,FAC1559,FAC618,FAC1849,FAC1024,FAC1578,FAC687,FAC935,FAC875,FAC592,FAC1078,FAC1154,FAC117,FAC564,FAC755,FAC1076,FAC026,FAC1101,FAC1309,FAC996,FAC1103,FAC832,FAC1119,FAC650,FAC1114,FAC1109,FAC701,FAC596,FAC647,FAC1196,FAC1064,FAC578,FAC992,FAC939,FAC546,FAC698,FAC485,FAC851,FAC1065,FAC785,FAC1127,FAC548,FAC076,FAC505,FAC470,FAC198,FAC1172,FAC1067,FAC927,FAC1411,FAC1397,FAC497,FAC900,FAC1516
Clic5,4.856,12.397,5.635,7.666,4.243,5.136,4.945,3.697,2.751,5.433,4.109,10.64,4.481,4.95,4.865,11.78,4.449,10.338,6.467,4.832,7.886,4.44,3.914,7.262,6.695,7.613,6.159,7.671,3.899,5.788,6.704,7.174,5.534,10.481,5.661,6.334,4.576,6.175,3.913,4.743,8.84,7.334,5.119,6.303,6.17,2.828,2.822,3.302,8.825,5.31,6.726,4.681,3.293,8.649,9.468,7.901,15.324,3.76,9.408,6.971,6.075,6.958,6.025,1.833,5.056,3.713,3.673,9.022,3.695,9.691,1.858,4.525,5.34,8.088,8.962,4.226,5.74,2.22,4.549,4.468,10.308,8.048,9.528,4.588,6.682,8.557,3.012,4.662,12.269,5.307,2.415,7.832,4.618,7.585,6.179,5.135,4.868,3.648,4.219,12.089,4.089,2.229,4.869,10.738,11.525,11.629,4.011,4.174,2.024,5.463,6.386,5.832,5.288,6.665,2.532,6.055,5.828,7.999,8.798,4.663,6.123,6.836,9.109,7.131,7.043,7.563,6.024,2.734,6.943,3.555,10.944,7.003,6.106,5.737,5.688,8.521,4.041,6.117,0.385,-0.055,5.177,3.432,1.878,9.809,5.049,9.666,9.105,9.085,9.0,8.839,8.894,3.001,7.116,8.789,8.438,8.353,-1.653,8.679,8.608,8.825,7.274,3.508,-0.277,10.158,1.521,8.428,10.018,7.734,0.236,4.125,1.456,5.543,9.651,4.711,5.148,4.455,7.112,2.184,7.975,5.23,7.076,6.734,6.238,9.298,7.097,4.983,8.89,8.247,4.505,5.762,4.483,4.573,6.898,6.223,7.502,6.176,4.293,4.185,4.447,9.248,7.154,8.775,-0.08,6.722,8.247,7.237,7.09,8.659,3.354,3.549,5.056,6.487,5.785,10.112,4.978,4.413,4.738,8.865,5.883,4.524,6.792,7.287,9.259,6.313,7.627,13.606,4.14,2.934,2.632,2.349,3.197,13.454,12.55,7.924,4.732,4.416,4.343,3.715,6.88,4.546,5.759,5.639,5.368,7.109,4.486,4.569,5.276,6.446,8.607,7.343,7.569,3.691,4.817,5.605,7.95,9.193,5.239,3.494,11.51,8.229,3.01,3.447,3.201,3.504,10.423,4.259,12.271,4.161,4.277,4.594,4.428,4.747,4.714,7.183,8.307,4.606,5.369,5.034,8.978,5.638,4.919,5.148,5.053,12.12,5.446,5.281,5.121,5.256,4.963,4.781,7.572,5.121,9.808,9.046,5.324,5.135,5.678,5.273,4.932,4.997,5.071,5.374,9.317,5.361,4.96,4.988,11.927,4.788,4.421,5.219,4.916,7.274,5.244,4.2,7.349
Sf3a2,3.777,4.733,8.34,6.551,4.001,4.877,11.508,7.601,6.984,5.716,8.576,9.357,5.347,5.837,5.88,7.723,5.755,9.694,4.356,10.555,4.671,3.032,5.831,5.906,5.448,6.661,5.506,5.311,6.81,4.795,12.796,2.639,5.734,6.197,7.199,5.75,6.111,10.05,7.324,8.315,5.058,5.229,3.725,4.911,6.157,4.787,4.859,11.509,8.436,7.073,7.364,11.816,5.664,7.567,6.495,5.292,3.31,5.924,4.819,6.057,5.146,5.106,5.015,4.22,4.407,10.038,5.552,8.943,7.697,6.719,3.86,9.403,9.833,4.898,5.749,5.304,5.65,11.043,5.236,3.452,5.397,7.651,2.123,11.029,5.944,5.822,6.506,9.985,6.078,7.876,4.446,4.49,4.48,5.376,4.369,11.595,7.564,3.65,4.444,11.633,10.839,3.551,3.649,4.083,3.895,7.207,12.278,6.584,3.656,5.422,6.932,8.06,3.975,9.593,2.404,7.278,7.138,3.283,8.978,8.064,6.605,7.819,7.727,7.742,7.615,7.396,6.672,7.948,4.252,6.822,7.426,8.228,8.47,2.485,7.096,7.835,6.542,7.141,7.058,8.077,6.806,3.449,3.667,8.636,0.72,8.965,7.888,4.018,8.579,7.062,6.261,5.406,3.586,8.864,8.789,8.785,9.338,8.621,5.979,2.818,5.31,7.517,5.729,5.789,3.189,2.194,9.389,4.822,8.553,8.644,9.048,8.7,1.5,1.235,8.136,3.817,9.469,8.772,8.332,8.726,5.405,9.033,8.172,8.554,8.843,0.519,8.447,3.019,8.58,8.684,3.327,1.648,2.932,7.516,9.321,8.918,8.694,4.341,7.755,7.624,7.671,3.094,7.463,5.824,8.645,9.356,2.769,2.664,10.59,10.551,7.502,6.511,5.979,6.007,7.951,7.957,7.989,8.303,-4.288,7.536,8.209,6.852,6.956,7.823,2.643,7.905,8.371,7.566,7.797,7.89,6.969,6.879,6.771,5.983,6.257,5.882,4.527,6.604,6.436,6.938,6.682,7.296,7.364,6.905,7.257,5.699,0.288,9.406,4.77,7.776,6.863,7.414,8.739,8.322,0.787,7.439,7.928,3.149,11.883,11.49,3.415,5.743,3.226,7.935,3.953,3.672,6.574,10.324,3.365,3.594,10.435,8.01,10.416,10.887,7.002,6.345,4.034,10.498,3.922,4.313,3.642,11.197,3.966,3.99,4.636,4.631,4.636,9.87,7.314,7.885,12.061,5.348,5.114,5.613,5.817,5.67,6.247,9.546,5.564,5.65,5.74,6.052,8.193,6.018,5.615,5.645,6.541,5.461,8.813,5.911,5.622,7.976,5.971,5.072,8.233
Hist1h1c,9.223,9.92,9.536,8.392,9.613,9.837,10.201,8.623,10.621,8.242,8.485,9.377,9.075,9.871,9.758,4.319,10.834,11.952,9.08,11.647,11.421,8.861,10.395,6.821,10.54,5.549,9.115,11.355,11.408,8.63,11.63,11.036,11.085,11.515,7.732,7.061,11.359,7.2,4.356,7.742,5.04,11.205,11.02,10.194,8.02,10.593,11.834,12.018,7.246,9.109,12.758,10.572,11.002,8.82,11.433,2.273,11.464,10.303,9.437,9.094,12.552,10.719,5.139,7.993,7.184,9.71,7.784,5.202,8.944,10.356,9.93,9.404,10.698,10.912,8.645,8.127,9.322,13.341,7.643,6.797,10.485,8.91,12.429,8.422,9.196,8.244,8.365,11.941,10.043,10.611,8.926,5.723,7.763,5.187,12.416,12.971,8.224,9.372,11.284,13.293,10.908,7.455,8.722,6.25,7.174,8.474,8.044,6.615,12.481,7.181,12.59,10.923,11.183,9.929,6.227,11.124,10.996,6.987,12.088,11.69,9.866,6.811,9.606,6.098,7.65,6.736,10.411,12.473,5.964,8.39,11.991,8.394,7.55,8.445,6.003,11.267,11.318,11.513,10.549,10.296,9.644,6.144,9.888,11.517,6.738,10.586,10.512,6.408,9.934,10.741,9.784,10.992,6.079,10.752,11.111,11.141,11.33,8.42,10.93,5.269,4.578,11.975,11.6,11.715,8.922,7.344,5.78,11.532,6.888,9.684,9.61,11.606,5.802,5.491,10.423,9.609,10.549,12.262,12.696,12.726,6.654,8.628,9.16,6.391,8.133,12.203,8.329,7.017,12.671,11.831,6.168,6.508,5.954,11.819,12.272,9.899,10.475,8.687,12.083,4.318,7.013,12.089,9.269,10.922,8.695,11.979,5.311,8.152,13.468,7.068,11.348,10.919,5.09,5.648,10.786,11.183,10.558,10.578,10.729,10.881,10.722,5.891,6.122,10.859,9.544,9.93,10.129,9.903,9.756,10.709,10.581,10.908,11.168,4.765,11.214,4.095,10.78,6.33,11.026,11.55,11.227,5.693,11.532,6.496,10.825,5.485,5.554,12.059,13.809,8.25,7.41,8.415,12.544,8.215,6.23,11.622,11.234,10.314,11.572,8.263,10.485,8.894,10.537,8.366,8.43,8.471,8.165,11.885,6.669,9.423,11.872,12.411,10.48,6.167,8.194,9.194,10.023,9.769,10.699,9.948,7.823,9.944,9.646,11.121,10.387,8.103,9.025,8.132,9.118,9.793,9.726,9.906,1.992,9.626,11.312,11.043,8.968,9.988,11.052,8.427,9.869,8.283,9.53,10.064,10.964,9.783,4.033,11.112,10.431,9.578,10.204,10.201,9.313,11.248,10.916
Cyp4f18,6.611,7.022,10.897,8.833,7.81,8.483,8.302,4.146,6.863,4.934,5.984,4.518,7.621,3.88,3.663,6.856,3.088,6.297,9.861,6.521,9.327,9.664,6.732,8.84,10.086,2.382,9.436,9.62,9.223,9.194,9.376,2.608,8.88,9.162,6.072,7.004,4.69,3.395,3.655,5.698,5.305,10.157,9.93,7.629,7.954,8.218,8.333,9.089,4.283,5.315,5.644,10.152,8.348,8.318,5.092,4.059,7.882,6.657,7.007,4.762,8.267,6.796,6.146,8.675,6.449,4.527,4.487,8.546,6.415,8.586,12.017,8.005,5.494,9.182,11.704,4.606,5.04,9.29,11.537,10.77,4.925,3.981,5.024,4.438,4.435,4.757,8.326,10.654,8.691,12.121,5.21,3.794,8.123,7.973,5.373,4.636,6.309,7.973,9.249,5.831,5.918,7.72,8.73,3.25,6.675,6.429,10.454,9.787,5.383,10.075,6.764,8.202,9.888,8.754,8.938,4.026,4.19,4.395,3.114,8.728,2.139,8.33,9.3,10.385,9.477,7.928,9.132,3.263,8.58,3.95,5.761,4.911,10.44,10.724,10.026,5.99,2.792,10.689,6.77,5.71,5.074,10.207,5.978,4.031,10.537,5.577,6.067,8.631,7.178,5.306,7.469,6.516,9.873,5.056,7.143,7.322,6.595,10.565,6.831,9.574,8.416,5.073,5.425,5.075,7.932,9.754,5.958,2.839,5.514,5.142,6.812,5.896,7.606,2.61,6.264,10.52,10.179,6.276,9.798,9.68,7.038,8.667,10.01,8.066,2.304,5.41,11.242,5.629,6.788,7.429,5.219,5.257,6.131,7.233,7.167,7.421,8.59,7.331,6.049,6.224,5.824,9.349,6.326,6.571,9.568,2.896,9.444,11.819,5.329,2.786,5.595,7.418,7.196,7.431,7.989,8.598,8.197,5.688,5.066,7.212,6.444,7.938,1.703,7.708,12.184,5.158,6.155,3.315,5.988,4.573,7.733,7.295,8.791,9.459,5.43,6.262,7.482,8.174,9.538,7.545,6.677,5.196,5.78,5.429,4.821,9.926,8.289,9.048,5.544,4.915,6.677,6.076,9.653,7.949,5.456,5.487,5.771,10.308,6.67,3.825,4.28,10.533,9.023,8.648,5.574,11.381,10.372,5.075,5.163,5.502,5.253,5.606,5.531,10.066,5.71,5.334,6.267,5.859,6.155,6.646,5.806,6.147,6.061,10.652,11.451,6.381,9.325,6.31,5.927,5.686,5.768,6.104,5.716,6.262,6.441,9.796,6.957,6.503,6.125,6.239,6.355,6.744,5.965,6.701,11.495,6.221,7.318,5.965,5.511,6.491,6.117,5.533,6.517,5.134,8.976
Srd5a1,5.203,5.343,5.932,5.648,5.092,5.691,7.173,0.824,4.25,2.671,1.95,7.028,5.997,3.261,3.399,3.182,3.451,4.132,5.826,4.174,8.476,7.685,3.809,2.265,4.831,4.577,3.473,5.997,5.599,4.163,3.262,0.526,1.648,1.691,8.511,9.257,3.908,5.045,7.468,8.0,9.167,3.131,1.717,5.13,2.551,2.644,4.964,3.106,3.715,7.895,8.282,1.54,3.433,8.959,4.193,7.71,1.225,3.671,6.109,3.841,5.392,5.04,2.998,2.315,2.554,3.767,3.771,7.406,3.862,9.456,3.952,4.601,8.052,8.457,4.844,6.784,3.315,3.2,3.529,3.498,5.492,4.612,2.833,5.382,4.69,2.255,3.594,7.987,4.046,6.645,2.935,7.631,3.676,5.039,7.453,3.535,4.115,3.788,4.945,4.748,4.064,3.91,3.716,3.803,3.077,7.591,6.993,6.849,1.116,3.041,4.757,9.402,5.36,3.365,6.035,3.981,2.39,5.509,5.196,2.587,2.465,3.676,3.153,8.291,3.755,2.615,6.221,2.523,5.715,8.388,3.02,6.213,5.321,5.501,4.479,4.954,4.618,1.56,7.513,1.273,1.988,1.379,5.247,7.977,0.828,6.873,3.944,4.645,6.223,6.653,4.051,2.93,5.374,4.18,3.065,5.778,4.198,1.853,8.298,5.53,7.866,6.488,6.828,9.015,0.846,6.223,5.263,3.532,1.43,2.436,-1.117,4.776,8.378,4.801,4.557,2.952,4.71,7.608,5.157,5.06,3.773,4.785,4.755,9.244,4.725,1.436,7.749,4.074,2.947,2.747,3.017,6.876,3.55,6.392,3.934,5.904,3.306,6.96,3.431,5.424,5.727,5.42,0.354,9.74,2.052,6.233,6.129,3.689,7.731,0.847,7.649,4.443,2.855,2.832,3.221,1.535,6.015,3.921,4.518,10.578,4.787,2.327,4.447,6.497,5.527,3.601,3.697,4.529,4.214,8.304,3.58,3.311,3.588,7.564,3.001,2.996,7.497,3.227,3.348,10.808,3.512,3.557,3.627,3.915,4.247,3.626,9.044,3.69,5.558,2.337,2.111,3.839,8.07,8.322,1.193,1.858,7.901,2.502,8.645,1.502,4.071,7.997,2.204,2.529,3.508,3.34,8.464,3.221,3.338,3.673,3.481,3.815,3.765,3.062,6.8,3.596,7.129,4.016,4.239,4.618,3.811,4.035,8.013,8.891,4.276,4.07,3.869,3.989,3.65,3.435,3.498,3.778,3.411,3.861,8.5,7.86,4.301,3.847,3.455,3.496,7.09,3.825,3.108,9.067,3.264,3.265,4.212,2.997,2.577,8.132,6.935,2.544,3.398,5.711,5.579
Usp24,8.079,6.472,5.832,6.107,8.273,2.832,8.025,2.136,7.901,3.659,4.504,3.889,7.373,3.832,3.885,7.43,3.799,7.314,10.38,4.34,2.87,6.271,10.574,5.139,4.225,6.944,10.369,5.56,2.594,2.852,10.168,5.189,4.364,2.231,5.333,9.549,4.619,5.792,10.406,4.884,7.495,4.234,5.163,8.229,3.758,3.851,6.059,4.266,7.436,5.746,7.778,2.61,4.367,9.028,5.054,9.34,4.276,4.539,9.912,4.686,3.898,10.261,3.84,4.433,6.077,4.517,4.499,7.416,4.538,5.732,10.89,5.166,5.758,9.654,5.315,5.027,7.716,3.655,3.938,3.877,5.747,4.872,9.016,5.535,6.721,7.077,8.078,2.693,6.735,3.013,3.708,6.857,3.183,9.371,8.365,6.871,8.177,4.988,3.067,7.136,4.385,4.59,4.292,8.462,7.543,8.719,4.428,4.59,2.835,9.288,3.46,9.42,6.021,5.358,5.766,2.733,4.804,6.768,1.432,4.795,7.032,4.782,4.978,6.329,5.129,5.832,6.928,1.885,5.164,4.874,6.776,3.487,9.779,6.8,8.921,5.049,1.239,7.094,3.615,2.171,6.602,5.797,4.312,8.751,3.7,9.39,6.951,5.833,6.133,6.43,7.622,5.151,3.137,6.293,6.33,2.381,2.624,5.92,9.008,8.741,6.101,2.788,3.502,5.985,5.083,3.907,6.209,3.002,8.364,3.918,4.637,5.011,7.498,7.458,7.057,5.768,5.474,7.903,3.823,5.346,6.881,7.351,6.38,6.813,4.124,6.229,7.359,8.202,7.576,5.375,2.727,6.404,5.182,3.061,6.115,5.507,3.625,6.028,5.897,5.877,5.336,4.24,3.979,10.024,3.583,8.771,5.457,6.384,2.11,5.065,9.096,4.536,5.565,5.997,3.864,4.177,4.668,3.292,6.139,8.145,8.499,5.662,7.376,7.494,6.197,6.155,7.57,3.767,5.342,4.805,2.99,9.394,10.705,8.271,5.31,5.511,4.925,2.731,2.977,3.068,11.07,5.225,5.018,6.598,4.264,6.745,1.572,1.53,7.963,7.576,6.783,6.878,4.037,6.496,5.178,7.166,6.543,7.012,9.32,0.451,7.804,7.12,5.767,6.781,2.399,2.267,5.321,7.561,8.127,7.794,7.786,2.846,2.824,7.699,3.026,8.56,3.497,8.034,7.625,3.748,5.313,8.646,7.049,3.256,8.221,8.087,8.626,3.986,3.802,3.731,3.91,9.489,4.037,8.349,4.72,4.561,5.127,4.74,4.406,4.467,4.526,8.44,7.951,4.76,4.364,8.77,8.273,4.236,3.886,7.756,4.411,3.953,7.783,7.678,8.939
Srd5a3,1.889,7.306,7.082,7.699,1.818,6.922,7.733,1.665,1.048,3.077,4.461,6.31,5.828,7.768,2.963,6.843,2.755,7.099,5.708,3.155,5.501,4.168,4.272,7.151,5.877,3.216,5.673,4.156,7.075,6.629,3.023,4.085,2.788,5.801,3.666,7.353,6.674,3.981,6.084,2.954,2.048,6.615,4.168,4.243,7.015,6.16,1.874,6.968,5.567,3.838,8.497,6.973,2.483,7.941,3.253,4.866,4.75,2.791,1.81,2.989,7.252,6.769,7.516,7.012,3.908,2.962,2.969,2.24,3.062,9.343,4.188,7.319,8.352,6.482,4.026,3.754,2.508,6.83,6.893,2.668,4.626,3.746,1.978,8.66,3.03,0.677,7.404,8.083,6.303,8.908,1.774,6.071,2.571,7.255,5.621,4.681,8.202,3.331,7.075,4.251,3.682,3.463,3.214,3.184,2.548,6.126,7.429,9.107,2.974,7.654,5.538,7.552,3.752,5.826,4.824,4.389,2.967,6.576,1.424,4.728,2.156,7.123,4.975,4.896,8.084,7.842,6.388,1.918,2.339,3.642,2.864,2.867,5.656,6.014,6.008,3.175,3.255,6.589,2.912,2.586,3.882,6.887,3.334,3.25,7.485,4.112,3.946,7.347,3.907,3.78,3.186,3.366,6.648,3.539,6.511,3.662,3.864,6.706,4.139,3.66,4.317,3.723,4.377,3.601,7.896,4.583,6.504,3.545,3.045,2.654,6.239,2.583,5.388,4.944,5.148,8.393,6.376,2.856,7.859,3.522,6.27,6.067,10.84,2.41,3.658,3.294,7.074,6.451,3.359,5.671,4.544,4.561,6.154,3.419,3.062,3.066,3.102,4.475,2.924,5.165,4.865,4.994,2.633,8.177,5.591,3.329,2.019,8.731,4.061,4.454,5.754,4.991,1.279,4.523,7.473,4.006,4.527,3.096,8.831,9.31,3.045,4.742,2.332,7.389,6.906,2.671,4.634,3.601,3.908,4.914,4.956,3.833,3.856,9.463,5.162,4.184,4.311,4.443,5.988,4.074,4.194,5.913,3.763,3.732,3.697,5.238,4.76,5.656,5.216,7.298,4.052,0.47,7.778,8.478,0.591,4.129,7.032,5.611,7.94,5.967,5.936,6.144,0.717,6.513,8.608,7.52,6.962,5.329,7.361,7.124,2.367,2.703,2.697,4.244,5.107,4.479,3.406,3.105,3.348,3.734,3.077,6.929,5.516,3.006,8.08,8.666,2.867,2.876,2.478,5.794,5.957,5.945,6.395,7.405,5.956,6.739,7.121,6.579,5.669,5.043,2.404,6.797,5.451,6.519,2.725,2.843,7.34,2.818,2.544,3.384,5.843,2.782,3.618,3.299,6.349
Itm2b,2.158,6.072,5.997,2.715,6.613,3.307,7.073,2.409,1.758,4.165,3.181,8.824,7.505,4.25,4.283,7.894,8.581,4.801,2.604,4.685,2.905,1.145,4.101,2.307,4.463,4.921,3.671,3.441,2.533,2.851,6.073,8.626,1.847,1.908,5.513,9.27,4.45,5.753,8.15,4.506,3.445,3.646,2.067,9.598,4.693,3.263,3.371,3.894,4.635,5.822,3.945,2.234,4.405,7.35,5.291,6.195,1.922,4.711,3.549,4.878,3.923,3.895,3.812,2.982,5.678,4.513,4.444,6.576,4.376,5.736,2.718,4.91,5.532,10.016,4.815,4.367,5.562,2.501,2.717,2.514,4.614,3.427,3.99,7.395,5.834,2.33,3.526,5.566,6.7,6.093,1.934,7.95,2.31,3.567,5.953,1.621,6.341,1.563,7.278,5.61,1.428,3.918,6.233,5.165,4.831,7.45,5.921,3.994,0.126,2.268,6.528,6.583,6.342,3.919,2.89,3.777,6.197,3.963,7.432,3.701,3.422,3.898,3.271,6.256,3.973,2.644,4.269,2.58,2.929,2.631,3.29,7.362,6.117,6.403,6.176,5.938,3.365,2.162,2.52,3.614,5.676,4.402,6.575,5.603,2.412,5.213,5.628,1.683,5.608,5.65,1.631,3.607,3.014,1.786,5.322,4.969,5.225,5.069,2.072,5.575,6.709,6.266,6.262,6.775,5.606,2.619,2.755,1.677,1.216,7.683,3.566,5.177,1.811,7.933,5.224,4.981,2.341,4.721,2.936,5.21,6.184,1.361,5.981,3.813,10.376,1.549,6.049,2.013,5.037,4.242,2.434,6.182,6.257,4.296,5.561,2.699,2.486,3.76,2.793,4.854,7.599,5.014,5.091,1.868,7.212,4.294,7.911,3.396,2.657,2.735,6.032,5.669,3.255,4.282,4.224,4.87,3.115,3.025,6.112,2.914,5.777,3.046,5.0,1.967,9.38,4.707,1.942,3.806,3.729,5.181,2.935,4.926,4.166,1.503,8.15,6.893,4.951,9.709,1.964,3.849,3.816,2.343,2.642,1.536,3.665,2.169,6.477,2.121,2.888,3.299,7.239,7.488,3.39,2.847,4.434,6.066,5.916,3.349,7.036,4.697,3.893,1.646,1.511,7.943,2.726,7.929,7.336,8.332,8.254,2.994,2.845,3.104,3.05,2.472,3.133,2.829,3.425,3.068,3.188,5.709,2.725,2.843,2.667,8.316,8.024,2.634,5.783,7.484,4.384,6.347,7.122,2.304,8.735,2.429,7.714,6.938,3.095,2.855,5.884,2.862,3.058,3.453,3.022,3.644,3.385,3.483,7.505,3.428,3.157,3.878,3.644,6.566,3.952,6.891,4.526
Ptplb,10.047,9.537,10.3,10.965,11.053,10.938,11.009,9.272,10.504,10.56,7.615,10.671,10.175,9.937,11.053,8.48,10.687,11.614,10.981,10.898,11.891,10.042,11.011,11.719,11.483,7.38,9.528,10.825,11.481,12.002,10.44,9.908,10.669,11.419,3.354,5.538,10.794,9.399,10.1,13.032,12.435,11.226,11.899,11.075,9.94,11.164,12.17,12.271,10.975,8.439,12.427,4.568,10.807,8.307,10.396,9.141,11.35,7.492,12.927,9.4,11.484,9.395,11.207,13.118,9.949,9.614,12.714,10.376,4.212,9.465,11.703,10.236,11.557,11.304,11.162,8.019,10.086,14.426,13.347,6.088,10.43,9.22,5.985,14.368,13.831,13.209,6.907,10.445,7.996,6.583,11.93,7.144,11.502,8.597,11.58,11.825,12.439,11.729,10.876,11.61,10.944,10.893,6.443,5.928,10.722,12.142,10.231,12.733,12.969,13.246,7.362,10.493,10.423,9.679,10.357,8.911,10.398,9.481,10.844,10.76,10.415,9.962,9.345,11.104,10.637,11.21,9.637,10.479,9.423,10.101,10.893,10.13,9.479,10.866,10.405,10.064,9.887,10.51,9.169,10.382,11.079,10.756,9.539,10.794,9.853,10.791,11.041,11.189,10.816,11.284,10.294,11.047,10.492,9.998,0.71,11.406,12.01,12.704,11.862,11.662,12.31,12.698,12.095,0.174,12.722,11.553,12.337,0.965,12.511,9.136,11.456,11.766,11.474,9.298,9.433,11.136,8.774,11.979,10.52,11.419,11.109,10.77,10.783,11.294,11.721,9.253,10.562,10.871,11.369,10.58,10.114,10.445,9.434,8.69,10.172,10.072,10.173,10.516,10.717,11.258,9.749,10.545,10.717,10.605,10.779,9.968,9.945,11.499,12.689,11.919,14.171,7.91,8.478,13.373,13.121,8.063,6.479,6.195,6.618,11.861,11.418,10.575,11.515,11.055,13.359,9.1,7.589,7.401,7.635,12.012,10.328,12.177,11.627,11.202,10.734,8.567,9.713,10.832,11.848,9.861,10.173,7.885,9.654,8.684,9.865,9.05,7.494,9.377,10.891,11.447,11.361,8.489,12.403,9.735,6.897,12.108,11.291,10.289,11.319,10.131,10.744,10.825,10.204,9.367,10.866,8.741,10.138,8.939,9.533,10.218,7.717,10.599,9.456,10.851,10.272,11.136,10.437,10.992,10.88,12.055,11.228,11.866,11.317,11.763,11.801,7.061,9.077,11.486,8.98,12.436,6.649,11.309,8.439,8.708,10.383,9.778,9.799,10.496,13.656,9.588,8.1,3.975,11.591,13.0,10.503,8.901,10.248,12.624,10.805,11.847,10.969,11.768,10.761,10.751,11.239
