rxn	LB	UB
MAR03905	0	879.859
MAR03907	0	222.394
MAR04097	0	81.1929
MAR04099	0	2.50485
MAR04108	0	81.1929
MAR04133	0	81.1929
MAR04281	-626.307	626.307
MAR04388	-626.307	626.307
MAR04283	0	4.34068
MAR08357	0	889.201
MAR04379	0	18.4129
MAR04301	0	18.4129
MAR04355	0	1343.45
MAR04358	0	31.2652
MAR04363	-179.883	179.883
MAR04365	-57.6167	57.6167
MAR04368	-153.799	153.799
MAR04370	0	4.24693
MAR04371	0	57.6167
MAR04372	0	4.24693
MAR04373	-798.519	798.519
MAR04375	-1343.45	1343.45
MAR04377	0	614.545
MAR04381	-99.0736	99.0736
MAR04391	-327.386	327.386
MAR04394	0	49.5616
MAR04396	-102.691	102.691
MAR04521	0	55.1482
MAR06412	0	3.38351
MAR07745	-32.6382	32.6382
MAR07747	0	4.34819
MAR08360	0	743.804
MAR08652	0	55.1482
MAR08757	0	2343.13
MAR03989	0	43.2806
MAR04122	0	43.7785
MAR04837	0	9.93689
MAR05395	0	4.15196
MAR05396	0	29.1628
MAR09727	0	29.1628
MAR05397	0	15.7918
MAR05398	0	75.1311
MAR05399	0	7.85348
MAR05400	0	7.85348
MAR05401	0	75.1311
MAR08568	0	68.8785
MAR08569	0	68.8785
MAR08570	0	68.8785
MAR08571	0	68.8785
MAR08572	0	68.8785
MAR08573	0	68.8785
MAR08574	0	68.8785
MAR08575	0	68.8785
MAR08576	0	68.8785
MAR08577	0	68.8785
MAR08578	0	68.8785
MAR08579	0	68.8785
MAR08581	0	68.8785
MAR08591	0	21.414
MAR08592	0	43.2806
MAR08580	0	68.8785
MAR08582	0	68.8785
MAR08587	0	21.414
MAR08589	0	43.2806
MAR08583	0	21.414
MAR08584	0	0.01
MAR08585	0	0.393505
MAR03944	0	47.3456
MAR04128	-12.7438	12.7438
MAR04130	0	31.7165
MAR04131	-41.8113	41.8113
MAR04132	0	41.8113
MAR04303	0	43.2806
MAR04414	0	31.7165
MAR04415	0	0.01
MAR04416	0	203.564
MAR04774	-18.4129	18.4129
MAR04775	-18.4129	18.4129
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	14.6199
MAR08761	0	178.117
MAR08762	-1343.45	1343.45
MAR08764	0	0.01
MAR08766	-11.5032	11.5032
MAR08767	0	41.8113
MAR00454	0	1000
MAR04297	0	4.14752
MAR04310	0	178.117
MAR04315	-325.872	325.872
MAR04316	-11.5032	11.5032
MAR04317	0	38.7189
MAR04318	0	38.7189
MAR04319	0	7.98265
MAR04320	0	38.7189
MAR04356	0	1343.45
MAR04383	-7.50102	7.50102
MAR04385	0	19.0859
MAR04386	0	15.9366
MAR04387	0	12.4646
MAR04399	0	0.965471
MAR04400	0	21.6061
MAR04401	0	2.40577
MAR04402	-3.81687	3.81687
MAR04403	0	1000
MAR04490	0	7.98265
MAR04706	0	4.14752
MAR08768	0	21.6061
MAR04590	0	153.128
MAR04591	0	111.119
MAR04592	-11.5032	11.5032
MAR04593	0	325.872
MAR04594	0	44.2786
MAR04595	-52.0422	52.0422
MAR08341	0	222.394
MAR08342	-1000	1000
MAR08344	-222.394	222.394
MAR08352	-15.0099	15.0099
MAR08353	-1000	1000
MAR08726	0	14.3765
MAR08727	0	15.9384
MAR08728	0	1000
MAR08729	0	1.83315
MAR06537	-222.394	222.394
MAR01568	0	4.34068
MAR03853	0	140.714
MAR03854	0	11.5032
MAR03855	0	11.5032
MAR03857	0	155.86
MAR03859	0	117.609
MAR04087	0	2.2551
MAR04089	0	15.4337
MAR04091	0	2.2551
MAR04093	0	22.0344
MAR04095	0	22.0344
MAR04101	0	1434.97
MAR04103	0	3.54385
MAR04143	0	189.728
MAR04193	0	31.2652
MAR08497	0	222.394
MAR08498	0	2343.13
MAR08499	0	2343.13
MAR08500	0	222.394
MAR08501	0	259.747
MAR08502	-879.859	879.859
MAR08503	0	280.242
MAR08504	0	889.201
MAR08506	0	889.201
MAR08507	0	879.859
MAR08508	0	879.859
MAR08509	0	222.394
MAR08511	0	155.86
MAR08512	-117.609	117.609
MAR08514	0	117.609
MAR08516	0	10.3151
MAR08517	0	1000
MAR04280	-7.48915	7.48915
MAR00153	0	81.1929
MAR03212	0	105.446
MAR03797	0	81.1929
MAR03800	0	27.7111
MAR04105	0	54.1442
MAR04106	0	54.1442
MAR04107	0	54.1442
MAR04282	0	103.907
MAR04331	-81.1929	81.1929
MAR04459	0	81.1929
MAR04460	0	81.1929
MAR04464	0	1000
MAR04497	0	498.619
MAR04741	0	23.4025
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-225.513	225.513
MAR00718	0	9.65828
MAR00719	0	0.172248
MAR01434	-186.919	186.919
MAR01436	0	17.0832
MAR03163	0	105.446
MAR04461	-46.8083	46.8083
MAR04604	0	143.729
MAR05351	-7.48915	7.48915
MAR07709	-103.46	103.46
MAR04052	0	14.5812
MAR04304	0	4.41997
MAR04350	-14.3765	14.3765
MAR04351	-2.49104	2.49104
MAR04352	-2.49104	2.49104
MAR04354	-102.691	102.691
MAR04398	-24.2827	24.2827
MAR04404	-30.6877	30.6877
MAR04473	0	25.6911
MAR04474	0	25.6911
MAR04476	-12.9059	12.9059
MAR04477	-4.8199	4.8199
MAR04501	-30.6877	30.6877
MAR04565	-88.9973	88.9973
MAR04567	0	18.4129
MAR09799	-16.2356	16.2356
MAR09800	-178.117	178.117
MAR04623	0	127.255
MAR04625	0	30.5355
MAR04710	-102.691	102.691
MAR04841	-4.34068	4.34068
MAR08074	0	14.3765
MAR08653	-127.255	127.255
MAR03998	0	42.4247
MAR04000	0	11.1302
MAR04002	-100.824	100.824
MAR04004	-100.824	100.824
MAR04010	0	20.3772
MAR04081	0	20.3772
MAR04082	0	20.3772
MAR04012	0	270.634
MAR04014	0	11.0414
MAR04020	-33.7845	33.7845
MAR04022	0	11.1302
