rxn	LB	UB
MAR03905	0	714.241
MAR03907	0	273.401
MAR04097	0	64.7489
MAR04099	0	5.66579
MAR04108	0	64.7489
MAR04133	0	64.7489
MAR04281	-569.515	569.515
MAR04388	-569.515	569.515
MAR04283	0	2.44062
MAR08357	0	927.454
MAR04379	0	17.7905
MAR04301	0	17.7905
MAR04355	0	1621.87
MAR04358	0	110.551
MAR04363	-182.993	182.993
MAR04365	-91.4547	91.4547
MAR04368	-186.667	186.667
MAR04370	0	2.7753
MAR04371	0	91.4547
MAR04372	0	2.7753
MAR04373	-1036	1036
MAR04375	-1621.87	1621.87
MAR04377	0	536.178
MAR04381	-140.82	140.82
MAR04391	-355.402	355.402
MAR04394	0	49.7402
MAR04396	-109.024	109.024
MAR04521	0	172.285
MAR06412	0	5.9303
MAR07745	-44.6631	44.6631
MAR07747	0	6.48888
MAR08360	0	731.08
MAR08652	0	172.285
MAR08757	0	1424.58
MAR03989	0	39.2141
MAR04122	0	138.093
MAR04837	0	11.0086
MAR05395	0	5.71428
MAR05396	0	24.7029
MAR09727	0	26.57
MAR05397	0	27.854
MAR05398	0	121.966
MAR05399	0	7.365
MAR05400	0	7.365
MAR05401	0	121.966
MAR08568	0	120.012
MAR08569	0	120.012
MAR08570	0	120.012
MAR08571	0	120.012
MAR08572	0	120.012
MAR08573	0	120.012
MAR08574	0	120.012
MAR08575	0	120.012
MAR08576	0	120.012
MAR08577	0	120.012
MAR08578	0	120.012
MAR08579	0	120.012
MAR08581	0	120.012
MAR08591	0	17.2021
MAR08592	0	39.2141
MAR08580	0	120.012
MAR08582	0	120.012
MAR08587	0	17.2021
MAR08589	0	39.2141
MAR08583	0	17.2021
MAR08584	0	0.01
MAR08585	0	0.604331
MAR03944	0	134.247
MAR04128	-11.9846	11.9846
MAR04130	0	42.0479
MAR04131	-27.7712	27.7712
MAR04132	0	27.7712
MAR04303	0	39.2141
MAR04414	0	42.0479
MAR04415	0	0.01
MAR04416	0	213.238
MAR04774	-17.7905	17.7905
MAR04775	-17.7905	17.7905
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	14.7993
MAR08761	0	240.555
MAR08762	-1621.87	1621.87
MAR08764	0	0.01
MAR08766	-18.1596	18.1596
MAR08767	0	27.7712
MAR00454	0	1000
MAR04297	0	4.32533
MAR04310	0	240.555
MAR04315	-549.37	549.37
MAR04316	-18.1596	18.1596
MAR04317	0	38.1609
MAR04318	0	38.1609
MAR04319	0	3.54554
MAR04320	0	38.1609
MAR04356	0	1621.87
MAR04383	-8.78635	8.78635
MAR04385	0	23.3985
MAR04386	0	17.486
MAR04387	0	9.92003
MAR04399	0	1.35899
MAR04400	0	22.6972
MAR04401	0	3.14342
MAR04402	-3.97749	3.97749
MAR04403	0	1000
MAR04490	0	3.54554
MAR04706	0	4.32533
MAR08768	0	22.6972
MAR04590	0	141.948
MAR04591	0	83.456
MAR04592	-18.1596	18.1596
MAR04593	0	549.37
MAR04594	0	50.2725
MAR04595	-60.4066	60.4066
MAR08341	0	273.401
MAR08342	-1000	1000
MAR08344	-273.401	273.401
MAR08352	-12.1726	12.1726
MAR08353	-1000	1000
MAR08726	0	7.32015
MAR08727	0	15.8249
MAR08728	0	1000
MAR08729	0	2.97281
MAR06537	-273.401	273.401
MAR01568	0	2.44062
MAR03853	0	212.495
MAR03854	0	18.1596
MAR03855	0	18.1596
MAR03857	0	132.091
MAR03859	0	53.5379
MAR04087	0	2.48682
MAR04089	0	41.3375
MAR04091	0	2.48682
MAR04093	0	29.9375
MAR04095	0	29.9375
MAR04101	0	515.008
MAR04103	0	2.13146
MAR04143	0	169.839
MAR04193	0	110.551
MAR08497	0	273.401
MAR08498	0	1424.58
MAR08499	0	1424.58
MAR08500	0	273.401
MAR08501	0	175.192
MAR08502	-714.241	714.241
MAR08503	0	222.891
MAR08504	0	927.454
MAR08506	0	927.454
MAR08507	0	714.241
MAR08508	0	714.241
MAR08509	0	273.401
MAR08511	0	132.091
MAR08512	-53.5379	53.5379
MAR08514	0	53.5379
MAR08516	0	10.5014
MAR08517	0	1000
MAR04280	-3.50985	3.50985
MAR00153	0	64.7489
MAR03212	0	178.025
MAR03797	0	64.7489
MAR03800	0	22.1925
MAR04105	0	22.4028
