rxn	LB	UB
MAR03905	0	1635.87
MAR03907	0	225.698
MAR04097	0	36.5026
MAR04099	0	13.182
MAR04108	0	36.5026
MAR04133	0	36.5026
MAR04281	-418.677	418.677
MAR04388	-418.677	418.677
MAR04283	0	2.60459
MAR08357	0	1280.93
MAR04379	0	24.277
MAR04301	0	24.277
MAR04355	0	1498.98
MAR04358	0	152.045
MAR04363	-141.606	141.606
MAR04365	-44.734	44.734
MAR04368	-133.976	133.976
MAR04370	0	3.21667
MAR04371	0	44.734
MAR04372	0	3.21667
MAR04373	-771.443	771.443
MAR04375	-1498.98	1498.98
MAR04377	0	731.003
MAR04381	-93.319	93.319
MAR04391	-230.889	230.889
MAR04394	0	94.2192
MAR04396	-125.428	125.428
MAR04521	0	83.5918
MAR06412	0	4.20291
MAR07745	-55.8584	55.8584
MAR07747	0	4.25979
MAR08360	0	1107.05
MAR08652	0	83.5918
MAR08757	0	3960.23
MAR03989	0	42.1418
MAR04122	0	23.2803
MAR04837	0	15.4981
MAR05395	0	3.54232
MAR05396	0	56.8526
MAR09727	0	56.8526
MAR05397	0	39.2446
MAR05398	0	129.669
MAR05399	0	8.99954
MAR05400	0	8.99954
MAR05401	0	129.669
MAR08568	0	109.487
MAR08569	0	109.487
MAR08570	0	109.487
MAR08571	0	109.487
MAR08572	0	109.487
MAR08573	0	109.487
MAR08574	0	109.487
MAR08575	0	109.487
MAR08576	0	109.487
MAR08577	0	109.487
MAR08578	0	109.487
MAR08579	0	109.487
MAR08581	0	109.487
MAR08591	0	19.7411
MAR08592	0	42.1418
MAR08580	0	109.487
MAR08582	0	109.487
MAR08587	0	19.7411
MAR08589	0	42.1418
MAR08583	0	19.7411
MAR08584	0	0.01
MAR08585	0	0.546853
MAR03944	0	118.973
MAR04128	-0.507214	0.507214
MAR04130	0	63.06
MAR04131	-28.4526	28.4526
MAR04132	0	28.4526
MAR04303	0	42.1418
MAR04414	0	63.06
MAR04415	0	0.01
MAR04416	0	124.5
MAR04774	-24.277	24.277
MAR04775	-24.277	24.277
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	11.8261
MAR08761	0	376.93
MAR08762	-1498.98	1498.98
MAR08764	0	0.01
MAR08766	-6.50274	6.50274
MAR08767	0	28.4526
MAR00454	0	1000
MAR04297	0	4.67083
MAR04310	0	376.93
MAR04315	-570.534	570.534
MAR04316	-6.50274	6.50274
MAR04317	0	40.2591
MAR04318	0	40.2591
MAR04319	0	2.98795
MAR04320	0	40.2591
MAR04356	0	1498.98
MAR04383	-3.37733	3.37733
MAR04385	0	25.9052
MAR04386	0	17.3953
MAR04387	0	6.92334
MAR04399	0	0.01
MAR04400	0	16.9057
MAR04401	0	1.81651
MAR04402	-2.93788	2.93788
MAR04403	0	1000
MAR04490	0	2.98795
MAR04706	0	4.67083
MAR08768	0	16.9057
MAR04590	0	171.271
MAR04591	0	176.144
MAR04592	-6.50274	6.50274
MAR04593	0	570.534
MAR04594	0	68.9079
MAR04595	-52.6414	52.6414
MAR08341	0	225.698
MAR08342	-1000	1000
MAR08344	-225.698	225.698
MAR08352	-12.2586	12.2586
MAR08353	-1000	1000
MAR08726	0	8.65421
MAR08727	0	15.0688
MAR08728	0	1000
MAR08729	0	3.2542
MAR06537	-225.698	225.698
MAR01568	0	2.60459
MAR03853	0	127.528
MAR03854	0	6.50274
MAR03855	0	6.50274
MAR03857	0	208.907
MAR03859	0	64.4517
MAR04087	0	0.765004
MAR04089	0	22.7238
MAR04091	0	0.765004
MAR04093	0	44.481
MAR04095	0	44.481
MAR04101	0	1252.48
MAR04103	0	0.994857
MAR04143	0	265.529
MAR04193	0	152.045
MAR08497	0	225.698
MAR08498	0	3960.23
MAR08499	0	3960.23
MAR08500	0	225.698
MAR08501	0	218.127
MAR08502	-1635.87	1635.87
MAR08503	0	216.947
MAR08504	0	1280.93
MAR08506	0	1280.93
MAR08507	0	1635.87
MAR08508	0	1635.87
MAR08509	0	225.698
MAR08511	0	208.907
MAR08512	-64.4517	64.4517
MAR08514	0	64.4517
MAR08516	0	13.3433
MAR08517	0	1000
MAR04280	-1.15277	1.15277
MAR00153	0	36.5026
MAR03212	0	208.473
MAR03797	0	36.5026
MAR03800	0	30.2751
MAR04105	0	32.1282
MAR04106	0	32.1282
MAR04107	0	32.1282
MAR04282	0	152.126
MAR04331	-36.5026	36.5026
MAR04459	0	36.5026
MAR04460	0	36.5026
MAR04464	0	1000
MAR04497	0	364.739
MAR04741	0	35.2068
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-436.665	436.665
MAR00718	0	16.9929
MAR00719	0	0.992069
MAR01434	-199.625	199.625
MAR01436	0	28.1795
MAR03163	0	208.473
MAR04461	-201.729	201.729
MAR04604	0	67.5163
MAR05351	-1.15277	1.15277
MAR07709	-98.1582	98.1582
MAR04052	0	13.9604
MAR04304	0	2.40921
MAR04350	-8.65421	8.65421
MAR04351	-2.26053	2.26053
MAR04352	-2.26053	2.26053
MAR04354	-125.428	125.428
MAR04398	-42.3438	42.3438
MAR04404	-37.4015	37.4015
MAR04473	0	16.7696
MAR04474	0	16.7696
MAR04476	-18.8013	18.8013
MAR04477	-9.31256	9.31256
MAR04501	-37.4015	37.4015
MAR04565	-76.7311	76.7311
MAR04567	0	24.277
MAR09799	-23.8252	23.8252
MAR09800	-376.93	376.93
MAR04623	0	87.7511
MAR04625	0	34.674
MAR04710	-125.428	125.428
MAR04841	-2.60459	2.60459
MAR08074	0	8.65421
MAR08653	-87.7511	87.7511
MAR03998	0	54.9342
MAR04000	0	29.0014
MAR04002	-196.094	196.094
MAR04004	-196.094	196.094
MAR04010	0	21.2963
MAR04081	0	21.2963
MAR04082	0	21.2963
MAR04012	0	263.229
MAR04014	0	15.6015
MAR04020	-21.4492	21.4492
MAR04022	0	29.0014
MAR04038	-8.85058	8.85058
MAR04040	0	16.7819
MAR04042	0	25.0181
MAR04046	0	4.17272
MAR04048	0	15.6015
MAR04080	0	10.0719
MAR04085	0	36.0157
MAR04086	0	36.0157
MAR04134	0	54.9342
MAR04135	-21.4492	21.4492
MAR04168	0	7.83923
MAR04171	0	152.045
MAR04290	0	31.6128
MAR04406	0	5.84999
MAR04412	-6.78863	6.78863
MAR04417	0	21.2963
MAR04418	0	19.5281
MAR04419	0	8.76885
MAR04421	0	152.045
MAR04449	0	21.2963
MAR04450	0	21.2963
MAR04451	0	1000
MAR04452	0	19.5281
MAR04453	0	4.17272
MAR04480	-246.843	246.843
MAR04481	0	1.11254
MAR04482	0	1.11254
MAR04486	0	2.98795
MAR04487	0	2.98795
MAR04488	0	2.98795
MAR04489	0	2.98795
MAR04492	0	2.98795
MAR04493	0	2.98795
MAR04495	0	2.98795
MAR04496	0	2.98795
MAR04518	0	7.85029
MAR04519	0	43.9169
MAR04520	0	43.9169
MAR04573	0	152.045
MAR04574	-28.2438	28.2438
MAR04600	0	5.15721
MAR04602	0	21.2963
MAR04603	-28.2438	28.2438
MAR04611	0	0.580586
MAR04612	0	0.580586
MAR04614	0	0.580586
MAR04615	0	0.580586
MAR04617	0	0.580586
MAR04618	0	0.580586
MAR04619	0	0.580586
MAR04621	0	0.580586
MAR04632	0	21.2963
MAR04646	0	43.9169
MAR04648	0	43.9169
MAR04649	0	43.9169
MAR04650	0	43.9169
MAR04651	-28.2438	28.2438
MAR04663	-28.2438	28.2438
MAR04664	0	19.5281
MAR04694	0	1.11254
MAR04695	-28.2438	28.2438
MAR04705	0	21.2963
MAR04709	-28.2438	28.2438
MAR04799	0	10.9854
MAR04802	0	10.9854
MAR04804	-68.0337	68.0337
MAR04808	0	5.1291
MAR04810	0	68.0337
MAR04812	-6.78863	6.78863
MAR04814	-8.85058	8.85058
MAR05301	0	13.4903
MAR05353	-21.4492	21.4492
MAR06601	0	0.01
MAR06602	-265.698	265.698
MAR06603	-265.698	265.698
MAR06605	-1000	1000
MAR06606	-1000	1000
MAR06607	-1000	1000
MAR06609	-1000	1000
MAR06610	0	1000
MAR06611	-1000	1000
MAR07144	0	27.5193
MAR08755	0	43.9169
MAR09797	0	1000
MAR04016	-138.181	138.181
MAR04018	-138.181	138.181
MAR04044	-138.181	138.181
MAR04291	-138.181	138.181
MAR04420	0	138.181
MAR04570	-138.181	138.181
MAR04572	0	138.181
MAR04006	-138.181	138.181
MAR04028	-138.181	138.181
MAR04030	-138.181	138.181
MAR04670	-138.181	138.181
MAR04673	-138.181	138.181
MAR04675	0	138.181
MAR06614	-138.181	138.181
MAR06615	-138.181	138.181
MAR06616	-138.181	138.181
MAR04635	-138.181	138.181
MAR03793	-44.7002	44.7002
MAR03931	0	36.4028
MAR03969	0	13.4903
MAR03970	0	21.2963
MAR04008	-20.7447	20.7447
MAR04032	0	2.5035
MAR04034	0	1.67541
MAR04036	0	11.7532
MAR04050	-1.67541	1.67541
MAR04056	0	21.2963
MAR04059	0	54.9342
MAR04060	0	54.9342
MAR04127	0	10.2189
MAR04177	0	21.2963
MAR04179	0	21.2963
MAR04182	0	40.2591
MAR04183	0	31.6128
MAR04192	0	31.6128
MAR04194	0	2.5035
MAR04210	0	152.045
MAR04211	0	7.83923
MAR04343	0	0.652579
MAR04345	-137.834	137.834
MAR04346	0	183.729
MAR04470	0	137.834
MAR04471	0	137.834
MAR04472	0	137.834
MAR04484	0	21.2963
MAR04485	-89.9793	89.9793
MAR04510	0	21.2963
MAR04512	-20.7447	20.7447
MAR04513	0	2.92966
MAR04514	0	3.55443
MAR04577	0	11.7532
MAR04579	-204.723	204.723
MAR04580	0	3.55443
MAR04608	-1.67541	1.67541
MAR04575	-3.65682	3.65682
MAR04637	-7.56082	7.56082
MAR04642	0	21.2963
MAR04643	0	7.83923
MAR04644	-0.950717	0.950717
MAR04672	0	1000
MAR04676	0	13.4903
MAR04736	0	183.729
MAR04819	0	77.8164
MAR05299	0	13.4903
MAR05352	0	13.4903
MAR05415	0	0.580586
MAR05416	0	0.580586
MAR05417	0	36.4028
MAR06612	-7.56082	7.56082
MAR06613	-7.56082	7.56082
MAR06621	-0.580586	0.580586
MAR06622	0	0.580586
MAR06623	0	39.9313
MAR06624	0	7.66899
MAR06627	-152.045	152.045
MAR07744	-3.50715	3.50715
MAR08072	0	1000
MAR08637	0	1000
MAR03965	0	5.32906
MAR03966	0	7.83923
MAR03967	-20.7447	20.7447
MAR03968	-7.56082	7.56082
MAR03999	0	31.6128
MAR04024	-20.7447	20.7447
MAR04026	-4.2306	4.2306
MAR04054	0	39.9313
MAR04061	0	31.6128
MAR04083	0	263.229
MAR04136	0	2050.88
MAR04180	0	13.4903
MAR04185	0	76.8929
MAR04186	0	76.8929
MAR04342	0	54.9342
MAR04344	-1000	1000
MAR04483	0	7.66899
MAR04507	0	0.180431
MAR04516	0	35.5819
MAR04601	0	5.15721
MAR04633	0	1.11254
MAR04640	0	7.56082
MAR04641	0	39.9313
MAR04680	-204.723	204.723
MAR04806	0	10.9854
MAR05394	0	1000
MAR06625	0	7.66899
MAR06626	0	21.2963
MAR07160	0	8.53429
MAR07161	0	0.828292
MAR07162	0	0.828292
MAR07163	0	10.3265
MAR07164	0	10.3265
MAR07713	0	21.2963
MAR07716	0	21.2963
MAR07717	0	21.2963
MAR07721	0	21.2963
MAR07725	0	21.2963
MAR07728	0	21.2963
MAR07800	-0.01	0.01
MAR07801	-117.154	117.154
MAR07802	-0.01	0.01
MAR07863	-20.7447	20.7447
MAR07864	-20.7447	20.7447
MAR07865	-20.7447	20.7447
MAR07866	-20.7447	20.7447
MAR07867	-20.7447	20.7447
MAR07868	-20.7447	20.7447
MAR07869	-20.7447	20.7447
MAR07870	-20.7447	20.7447
MAR07871	-20.7447	20.7447
MAR07872	-20.7447	20.7447
MAR07873	-20.7447	20.7447
MAR07874	-20.7447	20.7447
MAR07875	-4.2306	4.2306
MAR07876	-20.7447	20.7447
MAR07878	-138.181	138.181
MAR07879	0	7.83923
MAR07880	0	21.2963
MAR07881	-138.181	138.181
MAR07882	-138.181	138.181
MAR07883	-138.181	138.181
MAR07884	-138.181	138.181
MAR07885	-138.181	138.181
MAR07886	-138.181	138.181
MAR07887	-138.181	138.181
MAR07888	-138.181	138.181
MAR07889	-138.181	138.181
MAR07890	-138.181	138.181
MAR07891	-138.181	138.181
MAR07892	-138.181	138.181
MAR07893	-138.181	138.181
MAR07894	-138.181	138.181
MAR07895	-138.181	138.181
MAR08083	0	15.6015
MAR08085	0	15.6015
MAR08087	0	15.6015
MAR08443	0	27.5193
MAR08444	0	27.5193
MAR08445	0	13.4903
MAR08446	0	0.0780702
MAR08448	-20.7447	20.7447
MAR08449	-20.7447	20.7447
MAR08450	-20.7447	20.7447
MAR08451	-20.7447	20.7447
MAR08452	-20.7447	20.7447
MAR08453	-20.7447	20.7447
MAR08454	-20.7447	20.7447
MAR08455	-20.7447	20.7447
MAR08456	-20.7447	20.7447
MAR08457	-20.7447	20.7447
MAR08458	-20.7447	20.7447
MAR08459	-20.7447	20.7447
MAR08460	-20.7447	20.7447
MAR08461	-0.01	0.01
MAR08462	-20.7447	20.7447
MAR08463	-20.7447	20.7447
MAR08464	-20.7447	20.7447
MAR08465	-20.7447	20.7447
MAR08466	-20.7447	20.7447
MAR08467	-20.7447	20.7447
MAR08468	-20.7447	20.7447
MAR08469	-20.7447	20.7447
MAR08470	-20.7447	20.7447
MAR08471	-20.7447	20.7447
MAR08472	-20.7447	20.7447
MAR08473	0	1.11254
MAR08474	0	54.9342
MAR08477	-2.92966	2.92966
MAR08478	-2.92966	2.92966
MAR08479	-2.92966	2.92966
MAR08480	0	0.0780702
MAR08481	-1000	1000
MAR08482	0	27.7255
MAR08483	0	5.32906
MAR08484	0	1000
MAR08485	0	11.3251
MAR08486	-28.2438	28.2438
MAR08487	0	5.75814
MAR08488	0	7.83923
MAR08489	0	7.83923
MAR08493	0	11.3782
MAR08494	0	11.3782
MAR08495	0	11.3782
MAR03802	-489.357	489.357
MAR03804	-489.357	489.357
MAR03811	0	1650.69
MAR03813	-295.528	295.528
MAR03822	0	269.343
MAR03827	-229.023	229.023
MAR03829	-86.5148	86.5148
MAR03862	0	47.9837
MAR03865	0	229.023
MAR03870	0	26.281
MAR03873	0	404.815
MAR08654	0	404.815
MAR03890	0	465.485
MAR03892	0	1.05658
MAR09802	0	149.704
MAR03899	-275.407	275.407
MAR03903	0	0.748406
MAR04109	-174.047	174.047
MAR04114	0	101.005
MAR04115	0	101.005
MAR04118	0	26.281
MAR04172	0	47.9837
MAR04196	0	46.4828
MAR04197	0	57.8245
MAR04287	0	418.677
MAR04690	0	0.01
MAR04693	-65.1122	65.1122
MAR06780	0	414.205
MAR06968	-45.9551	45.9551
MAR06969	-59.1847	59.1847
MAR06970	-275.407	275.407
MAR06971	-1.32795	1.32795
MAR06972	-1.32795	1.32795
MAR07641	0	7.88847
MAR07642	-1000	1000
MAR08626	0	0.01
MAR08628	0	59.1847
MAR03806	-269.343	269.343
MAR03807	-296.482	296.482
MAR03809	-98.2841	98.2841
MAR03816	0	676.794
MAR03819	-269.343	269.343
MAR03820	-269.343	269.343
MAR03832	0	1000
MAR03833	0	21.9378
MAR03835	0	21.9378
MAR03837	0	4.04131
MAR03895	0	1.4057
MAR03897	0	1.4057
MAR03956	-134.726	134.726
MAR03993	0	1.8234
MAR04073	0	7.61498
MAR04075	0	27.2437
MAR04077	0	27.2437
MAR04190	-1.8234	1.8234
MAR04191	0	1.24391
MAR04212	0	32.4514
MAR04422	0	32.4514
MAR04423	0	0.316386
MAR04424	0	144.469
MAR04583	-279.949	279.949
MAR04605	0	1280.93
MAR04606	0	0.18913
MAR04607	0	22.1544
MAR04776	0	3.48544
MAR04777	0	3.48544
MAR04778	0	21.9378
MAR04779	0	21.9378
MAR04780	0	21.9378
MAR04781	0	21.9378
MAR04784	0	269.343
MAR04785	0	269.343
MAR04786	0	229.023
MAR04787	0	86.8872
MAR05384	0	8.33124
MAR06929	-42.3496	42.3496
MAR06930	-42.3496	42.3496
MAR06931	0	0.316386
MAR06932	0	0.316386
MAR06933	0	0.316386
MAR06934	0	0.316386
MAR06935	0	0.316386
MAR06936	0	0.316386
MAR06938	-42.3496	42.3496
MAR06939	-42.3496	42.3496
MAR06940	-1000	1000
MAR06941	0	0.316386
MAR06942	0	0.316386
MAR06943	0	0.316386
MAR06944	0	0.316386
MAR06945	0	0.316386
MAR06946	0	0.316386
MAR06947	0	0.316386
MAR06948	0	0.316386
MAR06949	0	0.316386
MAR06950	0	0.316386
MAR06951	0	0.316386
MAR06952	0	0.316386
MAR06953	0	147.835
MAR06954	0	147.835
MAR06955	-1000	1000
MAR06956	-1000	1000
MAR06957	-1000	1000
MAR06958	0	18.8969
MAR06959	0	18.8969
MAR06960	-1000	1000
MAR06961	0	18.8969
MAR06962	0	18.8969
MAR06963	0	18.8969
MAR06964	0	18.8969
MAR06965	-8.45517	8.45517
MAR06966	-8.45517	8.45517
MAR06967	-8.45517	8.45517
MAR06973	-147.835	147.835
MAR08096	-269.343	269.343
MAR08097	-269.343	269.343
MAR08098	0	229.023
MAR08416	0	45.9551
MAR08425	-32.9186	32.9186
MAR08426	0	0.525706
MAR08427	-5.33703	5.33703
MAR08431	0	1000
MAR08432	0	456.201
MAR08603	0	42.3496
MAR08604	0	102.86
MAR08605	0	1280.93
MAR08606	0	0.316386
MAR08607	0	1000
MAR08608	0	0.01
MAR08609	0	4.04131
MAR08610	0	179.468
MAR08611	0	179.468
MAR04285	0	12.7745
MAR00457	0	88.9536
MAR00460	0	88.9536
MAR03750	-33.9184	33.9184
MAR03752	-85.0111	85.0111
MAR03770	-41.5225	41.5225
MAR03771	-33.9184	33.9184
MAR03772	-33.9184	33.9184
MAR03782	-33.9184	33.9184
MAR03784	-85.0111	85.0111
MAR03794	-45.9551	45.9551
MAR03839	-15.8802	15.8802
MAR03841	-0.615324	0.615324
MAR03843	0	18.36
MAR03845	-92.5375	92.5375
MAR03847	-21.3245	21.3245
MAR03849	0	456.201
MAR03852	0	0.0851741
MAR03856	0	218.127
MAR03860	0	1000
MAR03883	0	120.441
MAR03901	0	1451.9
MAR03939	-420.016	420.016
MAR03974	0	120.441
MAR04198	0	178.969
MAR04199	-32.9186	32.9186
MAR04200	0	120.441
MAR04284	0	1000
MAR04348	0	120.441
MAR04466	0	104.42
MAR04467	0	178.969
MAR04582	-9.90906	9.90906
MAR04584	-5.33703	5.33703
MAR04696	0	32.8457
MAR04697	0	216.947
MAR04698	0	216.947
MAR04699	0	1249.01
MAR04700	-183.133	183.133
MAR04742	0	420.016
MAR04788	0	178.969
MAR04789	0	0.01
MAR04791	0	178.969
MAR04792	-112.813	112.813
MAR04937	-17.5298	17.5298
MAR05392	0	50.5627
MAR05393	0	2.86723
MAR06409	-49.4662	49.4662
MAR07702	-218.127	218.127
MAR07703	0	64.4971
MAR08433	0	26.816
MAR08434	0	18.4063
MAR08439	0	183.133
MAR08440	0	216.947
MAR08441	0	32.8457
MAR08442	0	1000
MAR09718	0	1000
MAR09486	0	0.604445
MAR04426	-52.3708	52.3708
MAR04428	0	5.16702
MAR04429	0	11.1157
MAR04430	0	102.86
MAR04431	0	2.60459
MAR04437	0	72.8949
MAR04658	-196.898	196.898
MAR04660	0	93.9093
MAR04712	0	223.525
MAR05336	-98.767	98.767
MAR05337	-15.5369	15.5369
MAR05338	0	134.538
MAR05339	-98.767	98.767
MAR05340	0	98.767
MAR08783	0	0.316386
MAR08784	0	1280.93
MAR08786	0	1280.93
MAR04241	-24.3006	24.3006
MAR04288	0	76.8389
MAR04596	-32.7076	32.7076
MAR04597	-32.7076	32.7076
MAR04599	0	49.2916
MAR04667	0	76.8389
MAR04668	0	76.8389
MAR04737	0	216.947
MAR04739	0	216.947
MAR04740	-1000	1000
MAR06415	0	49.2916
MAR06974	0	1000
MAR06975	0	24.3006
MAR06976	0	24.3006
MAR06977	0	24.3006
MAR06978	0	11.9225
MAR06979	0	0.01
MAR06980	0	112.813
MAR06981	0	146.807
MAR06982	0	25.4427
MAR06983	0	18.708
MAR06984	0	14.0645
MAR06985	0	13.6318
MAR08017	0	1000
MAR08018	0	1000
MAR08019	0	1000
MAR08021	0	139.903
MAR08025	0	24.3006
MAR08026	0	24.3006
MAR08027	0	24.3006
MAR08029	0	11.9225
MAR03164	0	106.598
MAR03166	0	114.963
MAR03885	-127.137	127.137
MAR04250	0	1000
MAR08091	0	5.16702
MAR08092	0	102.86
MAR08563	0	1280.93
MAR08566	0	231.911
MAR03935	-138.543	138.543
