rxn	LB	UB
MAR03905	0	1505
MAR03907	0	233.002
MAR04097	0	153.278
MAR04099	0	5.47725
MAR04108	0	153.278
MAR04133	0	153.278
MAR04281	-482.692	482.692
MAR04388	-482.692	482.692
MAR04283	0	1.38731
MAR08357	0	1156.56
MAR04379	0	17.1596
MAR04301	0	17.1596
MAR04355	0	1596.39
MAR04358	0	66.0541
MAR04363	-257.175	257.175
MAR04365	-59.4623	59.4623
MAR04368	-173.047	173.047
MAR04370	0	7.27778
MAR04371	0	59.4623
MAR04372	0	7.27778
MAR04373	-700.531	700.531
MAR04375	-1596.39	1596.39
MAR04377	0	541.87
MAR04381	-119.78	119.78
MAR04391	-371.881	371.881
MAR04394	0	58.3487
MAR04396	-122.117	122.117
MAR04521	0	61.9435
MAR06412	0	4.24591
MAR07745	-39.6079	39.6079
MAR07747	0	2.63061
MAR08360	0	753.977
MAR08652	0	61.9435
MAR08757	0	2510.81
MAR03989	0	42.2488
MAR04122	0	58.0944
MAR04837	0	10.4682
MAR05395	0	1.44216
MAR05396	0	26.4225
MAR09727	0	81.9469
MAR05397	0	27.5938
MAR05398	0	126.914
MAR05399	0	6.70237
MAR05400	0	6.70237
MAR05401	0	126.914
MAR08568	0	155.694
MAR08569	0	155.694
MAR08570	0	155.694
MAR08571	0	155.694
MAR08572	0	155.694
MAR08573	0	155.694
MAR08574	0	155.694
MAR08575	0	155.694
MAR08576	0	155.694
MAR08577	0	155.694
MAR08578	0	155.694
MAR08579	0	155.694
MAR08581	0	155.694
MAR08591	0	20.0863
MAR08592	0	42.2488
MAR08580	0	155.694
MAR08582	0	155.694
MAR08587	0	20.0863
MAR08589	0	42.2488
MAR08583	0	20.0863
MAR08584	0	0.01
MAR08585	0	0.594918
MAR03944	0	69.3613
MAR04128	-6.91303	6.91303
MAR04130	0	49.4524
MAR04131	-35.0967	35.0967
MAR04132	0	35.0967
MAR04303	0	42.2488
MAR04414	0	49.4524
MAR04415	0	0.01
MAR04416	0	172.204
MAR04774	-17.1596	17.1596
MAR04775	-17.1596	17.1596
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	11.1052
MAR08761	0	236.506
MAR08762	-1596.39	1596.39
MAR08764	0	0.01
MAR08766	-6.55821	6.55821
MAR08767	0	35.0967
MAR00454	0	1000
MAR04297	0	8.89549
MAR04310	0	236.506
MAR04315	-592.649	592.649
MAR04316	-6.55821	6.55821
MAR04317	0	33.8684
MAR04318	0	33.8684
MAR04319	0	2.00293
MAR04320	0	33.8684
MAR04356	0	1596.39
MAR04383	-3.83504	3.83504
MAR04385	0	25.2316
MAR04386	0	19.3442
MAR04387	0	9.89325
MAR04399	0	0.385347
MAR04400	0	15.364
MAR04401	0	2.49393
MAR04402	-3.64035	3.64035
MAR04403	0	1000
MAR04490	0	2.00293
MAR04706	0	8.89549
MAR08768	0	15.364
MAR04590	0	255.659
MAR04591	0	140.145
MAR04592	-6.55821	6.55821
MAR04593	0	592.649
MAR04594	0	39.9189
MAR04595	-43.0098	43.0098
MAR08341	0	233.002
MAR08342	-1000	1000
MAR08344	-233.002	233.002
MAR08352	-8.98756	8.98756
MAR08353	-1000	1000
MAR08726	0	10.9148
MAR08727	0	15.0267
MAR08728	0	1000
MAR08729	0	2.39064
MAR06537	-233.002	233.002
MAR01568	0	1.38731
MAR03853	0	242.762
MAR03854	0	6.55821
MAR03855	0	6.55821
MAR03857	0	148.418
MAR03859	0	63.6241
MAR04087	0	1.05929
MAR04089	0	50.3704
MAR04091	0	1.05929
MAR04093	0	33.6924
MAR04095	0	33.6924
MAR04101	0	1730.14
MAR04103	0	0.478115
MAR04143	0	199.625
MAR04193	0	66.0541
MAR08497	0	233.002
MAR08498	0	2510.81
MAR08499	0	2510.81
MAR08500	0	233.002
MAR08501	0	164
MAR08502	-1505	1505
MAR08503	0	222.866
MAR08504	0	1156.56
MAR08506	0	1156.56
MAR08507	0	1505
MAR08508	0	1505
MAR08509	0	233.002
MAR08511	0	148.418
MAR08512	-63.6241	63.6241
MAR08514	0	63.6241
MAR08516	0	8.34644
MAR08517	0	1000
MAR04280	-1.74388	1.74388
MAR00153	0	153.278
MAR03212	0	177.321
MAR03797	0	153.278
MAR03800	0	28.3516
MAR04105	0	23.3717
MAR04106	0	23.3717
MAR04107	0	23.3717
MAR04282	0	135.265
MAR04331	-153.278	153.278
MAR04459	0	153.278
MAR04460	0	153.278
MAR04464	0	1000
MAR04497	0	429.971
MAR04741	0	32.9483
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-240.028	240.028
MAR00718	0	10.9978
MAR00719	0	0.171916
MAR01434	-225.775	225.775
MAR01436	0	19.6617
MAR03163	0	177.321
MAR04461	-84.2439	84.2439
MAR04604	0	222.383
MAR05351	-1.74388	1.74388
MAR07709	-72.4383	72.4383
MAR04052	0	11.0814
MAR04304	0	1.8375
MAR04350	-10.9148	10.9148
MAR04351	-1.95486	1.95486
MAR04352	-1.95486	1.95486
MAR04354	-122.117	122.117
MAR04398	-37.868	37.868
MAR04404	-51.3776	51.3776
