rxn	LB	UB
MAR03905	0	1538.24
MAR03907	0	196.314
MAR04097	0	126.13
MAR04099	0	1.95787
MAR04108	0	126.13
MAR04133	0	126.13
MAR04281	-385.672	385.672
MAR04388	-385.672	385.672
MAR04283	0	2.11128
MAR08357	0	878.009
MAR04379	0	19.4046
MAR04301	0	19.4046
MAR04355	0	1426.24
MAR04358	0	95.7033
MAR04363	-243.483	243.483
MAR04365	-45.5158	45.5158
MAR04368	-98.3706	98.3706
MAR04370	0	5.93486
MAR04371	0	45.5158
MAR04372	0	5.93486
MAR04373	-635.34	635.34
MAR04375	-1426.24	1426.24
MAR04377	0	556.99
MAR04381	-89.4986	89.4986
MAR04391	-284.822	284.822
MAR04394	0	108.949
MAR04396	-100.677	100.677
MAR04521	0	31.3656
MAR06412	0	3.29508
MAR07745	-41.4535	41.4535
MAR07747	0	3.41048
MAR08360	0	738.307
MAR08652	0	31.3656
MAR08757	0	2290.36
MAR03989	0	36.8392
MAR04122	0	21.6813
MAR04837	0	11.8005
MAR05395	0	2.12047
MAR05396	0	50.4994
MAR09727	0	50.4994
MAR05397	0	18.1876
MAR05398	0	67.6043
MAR05399	0	5.16256
MAR05400	0	5.16256
MAR05401	0	67.6043
MAR08568	0	113.198
MAR08569	0	113.198
MAR08570	0	113.198
MAR08571	0	113.198
MAR08572	0	113.198
MAR08573	0	113.198
MAR08574	0	113.198
MAR08575	0	113.198
MAR08576	0	113.198
MAR08577	0	113.198
MAR08578	0	113.198
MAR08579	0	113.198
MAR08581	0	113.198
MAR08591	0	13.0149
MAR08592	0	36.8392
MAR08580	0	113.198
MAR08582	0	113.198
MAR08587	0	13.0149
MAR08589	0	36.8392
MAR08583	0	13.0149
MAR08584	0	0.01
MAR08585	0	0.381162
MAR03944	0	57.7426
MAR04128	-9.81845	9.81845
MAR04130	0	59.8106
MAR04131	-35.9266	35.9266
MAR04132	0	35.9266
MAR04303	0	36.8392
MAR04414	0	59.8106
MAR04415	0	0.01
MAR04416	0	156.2
MAR04774	-19.4046	19.4046
MAR04775	-19.4046	19.4046
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	8.38699
MAR08761	0	296.271
MAR08762	-1426.24	1426.24
MAR08764	0	0.01
MAR08766	-4.75855	4.75855
MAR08767	0	35.9266
MAR00454	0	1000
MAR04297	0	8.18733
MAR04310	0	296.271
MAR04315	-479.408	479.408
MAR04316	-4.75855	4.75855
MAR04317	0	28.1878
MAR04318	0	28.1878
MAR04319	0	1.43599
MAR04320	0	28.1878
MAR04356	0	1426.24
MAR04383	-4.0133	4.0133
MAR04385	0	21.0778
MAR04386	0	14.6627
MAR04387	0	8.33568
MAR04399	0	0.135319
MAR04400	0	16.4177
MAR04401	0	1.55294
MAR04402	-2.94243	2.94243
MAR04403	0	1000
MAR04490	0	1.43599
MAR04706	0	8.18733
MAR08768	0	16.4177
MAR04590	0	187.923
MAR04591	0	156.849
MAR04592	-4.75855	4.75855
MAR04593	0	479.408
MAR04594	0	39.8392
MAR04595	-42.7968	42.7968
MAR08341	0	196.314
MAR08342	-1000	1000
MAR08344	-196.314	196.314
MAR08352	-9.20143	9.20143
MAR08353	-1000	1000
MAR08726	0	8.95823
MAR08727	0	14.6706
MAR08728	0	1000
MAR08729	0	2.05877
MAR06537	-196.314	196.314
MAR01568	0	2.11128
MAR03853	0	255.45
MAR03854	0	4.75855
MAR03855	0	4.75855
MAR03857	0	198.493
MAR03859	0	48.816
MAR04087	0	0.834722
MAR04089	0	42.5102
MAR04091	0	0.834722
MAR04093	0	22.5606
MAR04095	0	22.5606
MAR04101	0	981.309
MAR04103	0	0.655606
MAR04143	0	136.761
MAR04193	0	95.7033
MAR08497	0	196.314
MAR08498	0	2290.36
MAR08499	0	2290.36
MAR08500	0	196.314
MAR08501	0	206.696
MAR08502	-1538.24	1538.24
MAR08503	0	178.066
MAR08504	0	878.009
MAR08506	0	878.009
MAR08507	0	1538.24
MAR08508	0	1538.24
MAR08509	0	196.314
MAR08511	0	198.493
MAR08512	-48.816	48.816
MAR08514	0	48.816
MAR08516	0	9.94526
MAR08517	0	1000
MAR04280	-0.907745	0.907745
MAR00153	0	126.13
MAR03212	0	111.179
MAR03797	0	126.13
MAR03800	0	20.2688
MAR04105	0	27.635
MAR04106	0	27.635
MAR04107	0	27.635
MAR04282	0	89.7498
MAR04331	-126.13	126.13
MAR04459	0	126.13
MAR04460	0	126.13
MAR04464	0	1000
MAR04497	0	286.263
MAR04741	0	24.1027
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-334.97	334.97
MAR00718	0	11.18
MAR00719	0	0.192197
MAR01434	-148.647	148.647
MAR01436	0	37.2931
MAR03163	0	111.179
MAR04461	-120.714	120.714
MAR04604	0	114.972
MAR05351	-0.907745	0.907745
MAR07709	-94.9138	94.9138
MAR04052	0	11.2812
MAR04304	0	2.45326
MAR04350	-8.95823	8.95823
MAR04351	-2.86242	2.86242
MAR04352	-2.86242	2.86242
MAR04354	-100.677	100.677
MAR04398	-34.7535	34.7535
MAR04404	-36.0162	36.0162
MAR04473	0	22.1567
MAR04474	0	22.1567
MAR04476	-17.6071	17.6071
MAR04477	-5.70973	5.70973
MAR04501	-36.0162	36.0162
MAR04565	-98.7154	98.7154
MAR04567	0	19.4046
MAR09799	-21.3853	21.3853
MAR09800	-296.271	296.271
MAR04623	0	70.9181
MAR04625	0	45.8244
MAR04710	-100.677	100.677
MAR04841	-2.11128	2.11128
MAR08074	0	8.95823
MAR08653	-70.9181	70.9181
MAR03998	0	31.1571
MAR04000	0	14.4409
MAR04002	-138.323	138.323
MAR04004	-138.323	138.323
MAR04010	0	28.7285
MAR04081	0	28.7285
MAR04082	0	28.7285
MAR04012	0	249.431
MAR04014	0	10.0141
MAR04020	-27.8843	27.8843
MAR04022	0	14.4409
MAR04038	-6.59143	6.59143
MAR04040	0	17.3189
MAR04042	0	25.0043
MAR04046	0	2.23006
MAR04048	0	10.0141
