rxn	LB	UB
MAR03905	0	655.408
MAR03907	0	201.374
MAR04097	0	45.8713
MAR04099	0	1.64567
MAR04108	0	45.8713
MAR04133	0	45.8713
MAR04281	-671.787	671.787
MAR04388	-671.787	671.787
MAR04283	0	2.14457
MAR08357	0	777.111
MAR04379	0	18.4104
MAR04301	0	18.4104
MAR04355	0	1361.79
MAR04358	0	42.2298
MAR04363	-112.342	112.342
MAR04365	-42.9298	42.9298
MAR04368	-128.538	128.538
MAR04370	0	4.45267
MAR04371	0	42.9298
MAR04372	0	4.45267
MAR04373	-477.843	477.843
MAR04375	-1361.79	1361.79
MAR04377	0	458.695
MAR04381	-78.223	78.223
MAR04391	-281.606	281.606
MAR04394	0	44.54
MAR04396	-92.3403	92.3403
MAR04521	0	62.0427
MAR06412	0	3.84336
MAR07745	-39.9654	39.9654
MAR07747	0	3.00565
MAR08360	0	752.731
MAR08652	0	62.0427
MAR08757	0	2903.96
MAR03989	0	27.1769
MAR04122	0	31.0708
MAR04837	0	7.57429
MAR05395	0	1.54421
MAR05396	0	18.7482
MAR09727	0	27.9524
MAR05397	0	12.2553
MAR05398	0	65.1748
MAR05399	0	4.60124
MAR05400	0	4.60124
MAR05401	0	65.1748
MAR08568	0	174.42
MAR08569	0	174.42
MAR08570	0	174.42
MAR08571	0	174.42
MAR08572	0	174.42
MAR08573	0	174.42
MAR08574	0	174.42
MAR08575	0	174.42
MAR08576	0	174.42
MAR08577	0	174.42
MAR08578	0	174.42
MAR08579	0	174.42
MAR08581	0	174.42
MAR08591	0	9.14803
MAR08592	0	27.1769
MAR08580	0	174.42
MAR08582	0	174.42
MAR08587	0	9.14803
MAR08589	0	27.1769
MAR08583	0	9.14803
MAR08584	0	0.01
MAR08585	0	0.519351
MAR03944	0	71.6639
MAR04128	-6.47164	6.47164
MAR04130	0	53.8931
MAR04131	-31.5286	31.5286
MAR04132	0	31.5286
MAR04303	0	27.1769
MAR04414	0	53.8931
MAR04415	0	0.01
MAR04416	0	153.138
MAR04774	-18.4104	18.4104
MAR04775	-18.4104	18.4104
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	8.01788
MAR08761	0	267.36
MAR08762	-1361.79	1361.79
MAR08764	0	0.01
MAR08766	-2.8985	2.8985
MAR08767	0	31.5286
MAR00454	0	1000
MAR04297	0	5.22343
MAR04310	0	267.36
MAR04315	-241.489	241.489
MAR04316	-2.8985	2.8985
MAR04317	0	23.2328
MAR04318	0	23.2328
MAR04319	0	1.12768
MAR04320	0	23.2328
MAR04356	0	1361.79
MAR04383	-3.47738	3.47738
MAR04385	0	19.3149
MAR04386	0	10.4236
MAR04387	0	10.4236
MAR04399	0	0.01
MAR04400	0	14.1641
MAR04401	0	3.16639
MAR04402	-2.49842	2.49842
MAR04403	0	1000
MAR04490	0	1.12768
MAR04706	0	5.22343
MAR08768	0	14.1641
MAR04590	0	161.193
MAR04591	0	132.617
MAR04592	-2.8985	2.8985
MAR04593	0	241.489
MAR04594	0	39.0133
MAR04595	-38.8752	38.8752
MAR08341	0	201.374
MAR08342	-1000	1000
MAR08344	-201.374	201.374
MAR08352	-12.2854	12.2854
MAR08353	-1000	1000
MAR08726	0	10.3952
MAR08727	0	17.882
MAR08728	0	1000
MAR08729	0	1.67423
MAR06537	-201.374	201.374
MAR01568	0	2.14457
MAR03853	0	255.921
MAR03854	0	2.8985
MAR03855	0	2.8985
MAR03857	0	159.182
MAR03859	0	47.3641
MAR04087	0	1.63862
MAR04089	0	29.9067
MAR04091	0	1.63862
MAR04093	0	31.97
MAR04095	0	31.97
MAR04101	0	235.515
MAR04103	0	0.727911
MAR04143	0	113.552
MAR04193	0	42.2298
MAR08497	0	201.374
MAR08498	0	2903.96
MAR08499	0	2903.96
MAR08500	0	201.374
MAR08501	0	240.818
MAR08502	-655.408	655.408
MAR08503	0	159.308
MAR08504	0	777.111
MAR08506	0	777.111
MAR08507	0	655.408
MAR08508	0	655.408
MAR08509	0	201.374
MAR08511	0	159.182
MAR08512	-47.3641	47.3641
MAR08514	0	47.3641
MAR08516	0	13.3281
MAR08517	0	1000
MAR04280	-1.65993	1.65993
MAR00153	0	45.8713
MAR03212	0	201.234
MAR03797	0	45.8713
MAR03800	0	27.3584
MAR04105	0	33.0118
MAR04106	0	33.0118
MAR04107	0	33.0118
MAR04282	0	109.232
MAR04331	-45.8713	45.8713
MAR04459	0	45.8713
MAR04460	0	45.8713
MAR04464	0	1000
MAR04497	0	249.864
MAR04741	0	24.1818
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-324.981	324.981
MAR00718	0	13.2523
MAR00719	0	0.01
MAR01434	-240.106	240.106
MAR01436	0	10.7939
MAR03163	0	201.234
MAR04461	-144.004	144.004
MAR04604	0	84.9677
MAR05351	-1.65993	1.65993
MAR07709	-76.7036	76.7036
MAR04052	0	11.969
MAR04304	0	0.816655
MAR04350	-10.3952	10.3952
MAR04351	-2.36855	2.36855
MAR04352	-2.36855	2.36855
MAR04354	-92.3403	92.3403
MAR04398	-30.4227	30.4227
MAR04404	-25.7039	25.7039
MAR04473	0	7.81289
MAR04474	0	7.81289
MAR04476	-24.2084	24.2084
MAR04477	-5.83905	5.83905
MAR04501	-25.7039	25.7039
MAR04565	-70.211	70.211
MAR04567	0	18.4104
MAR09799	-17.1915	17.1915
MAR09800	-267.36	267.36
MAR04623	0	58.5096
MAR04625	0	42.7274
MAR04710	-92.3403	92.3403
MAR04841	-2.14457	2.14457
MAR08074	0	10.3952
MAR08653	-58.5096	58.5096
MAR03998	0	39.6742
MAR04000	0	15.1763
MAR04002	-103.969	103.969
MAR04004	-103.969	103.969
MAR04010	0	25.5772
MAR04081	0	25.5772
MAR04082	0	25.5772
MAR04012	0	244.873
MAR04014	0	7.68024
MAR04020	-23.4316	23.4316
MAR04022	0	15.1763
MAR04038	-6.52704	6.52704
MAR04040	0	20.9782
MAR04042	0	19.2331
MAR04046	0	5.03879
MAR04048	0	7.68024
MAR04080	0	5.42814
MAR04085	0	50.7216
MAR04086	0	50.7216
MAR04134	0	39.6742
MAR04135	-23.4316	23.4316
MAR04168	0	12.6847
MAR04171	0	42.2298
MAR04290	0	28.7821
MAR04406	0	2.72051
MAR04412	-7.3861	7.3861
MAR04417	0	25.5772
MAR04418	0	21.8446
MAR04419	0	4.00932
MAR04421	0	42.2298
MAR04449	0	25.5772
MAR04450	0	25.5772
MAR04451	0	1000
MAR04452	0	21.8446
MAR04453	0	5.03879
MAR04480	-201.234	201.234
MAR04481	0	0.54959
MAR04482	0	0.54959
MAR04486	0	1.12768
MAR04487	0	1.12768
MAR04488	0	1.12768
MAR04489	0	1.12768
MAR04492	0	1.12768
MAR04493	0	1.12768
MAR04495	0	1.12768
MAR04496	0	1.12768
MAR04518	0	2.51506
MAR04519	0	11.9423
MAR04520	0	11.9423
MAR04573	0	42.2298
MAR04574	-41.9717	41.9717
MAR04600	0	11.5798
MAR04602	0	25.5772
MAR04603	-41.9717	41.9717
MAR04611	0	0.423584
MAR04612	0	0.423584
MAR04614	0	0.423584
MAR04615	0	0.423584
MAR04617	0	0.423584
MAR04618	0	0.423584
MAR04619	0	0.423584
MAR04621	0	0.423584
MAR04632	0	25.5772
MAR04646	0	11.9423
MAR04648	0	11.9423
MAR04649	0	11.9423
MAR04650	0	11.9423
MAR04651	-41.9717	41.9717
MAR04663	-41.9717	41.9717
MAR04664	0	21.8446
MAR04694	0	0.54959
MAR04695	-41.9717	41.9717
MAR04705	0	25.5772
MAR04709	-41.9717	41.9717
MAR04799	0	5.43981
MAR04802	0	5.43981
MAR04804	-50.8969	50.8969
MAR04808	0	3.44706
MAR04810	0	50.8969
MAR04812	-7.3861	7.3861
MAR04814	-6.52704	6.52704
MAR05301	0	16.5143
MAR05353	-23.4316	23.4316
MAR06601	0	0.01
MAR06602	-217.892	217.892
MAR06603	-217.892	217.892
MAR06605	-1000	1000
MAR06606	-1000	1000
MAR06607	-1000	1000
MAR06609	-1000	1000
MAR06610	0	1000
MAR06611	-1000	1000
MAR07144	0	27.6539
MAR08755	0	11.9423
MAR09797	0	1000
MAR04016	-173.105	173.105
MAR04018	-173.105	173.105
MAR04044	-173.105	173.105
MAR04291	-173.105	173.105
MAR04420	0	173.105
MAR04570	-173.105	173.105
MAR04572	0	173.105
MAR04006	-173.105	173.105
MAR04028	-173.105	173.105
MAR04030	-173.105	173.105
MAR04670	-173.105	173.105
MAR04673	-173.105	173.105
MAR04675	0	173.105
MAR06614	-173.105	173.105
MAR06615	-173.105	173.105
MAR06616	-173.105	173.105
MAR04635	-173.105	173.105
MAR03793	-39.1081	39.1081
MAR03931	0	36.3138
MAR03969	0	16.5143
MAR03970	0	25.5772
MAR04008	-17.079	17.079
MAR04032	0	2.19914
MAR04034	0	1.0626
MAR04036	0	8.87693
MAR04050	-1.0626	1.0626
MAR04056	0	25.5772
MAR04059	0	39.6742
MAR04060	0	39.6742
MAR04127	0	19.1196
MAR04177	0	25.5772
MAR04179	0	25.5772
MAR04182	0	23.2328
MAR04183	0	28.7821
MAR04192	0	28.7821
MAR04194	0	2.19914
MAR04210	0	42.2298
MAR04211	0	12.6847
MAR04343	0	0.402449
MAR04345	-57.55	57.55
MAR04346	0	106.409
MAR04470	0	57.55
MAR04471	0	57.55
MAR04472	0	57.55
MAR04484	0	25.5772
MAR04485	-185.487	185.487
MAR04510	0	25.5772
MAR04512	-17.079	17.079
MAR04513	0	1.40749
MAR04514	0	8.77567
MAR04577	0	8.87693
MAR04579	-36.1713	36.1713
MAR04580	0	8.77567
MAR04608	-1.0626	1.0626
MAR04575	-5.02377	5.02377
MAR04637	-10.7468	10.7468
MAR04642	0	25.5772
MAR04643	0	12.6847
MAR04644	-0.978414	0.978414
MAR04672	0	1000
MAR04676	0	16.5143
MAR04736	0	106.409
MAR04819	0	90.306
MAR05299	0	16.5143
MAR05352	0	16.5143
MAR05415	0	0.423584
MAR05416	0	0.423584
MAR05417	0	36.3138
MAR06612	-10.7468	10.7468
MAR06613	-10.7468	10.7468
MAR06621	-0.423584	0.423584
MAR06622	0	0.423584
MAR06623	0	16.1084
MAR06624	0	8.51074
MAR06627	-42.2298	42.2298
MAR07744	-4.07803	4.07803
MAR08072	0	1000
MAR08637	0	1000
MAR03965	0	3.47768
MAR03966	0	12.6847
MAR03967	-17.079	17.079
MAR03968	-10.7468	10.7468
MAR03999	0	28.7821
MAR04024	-17.079	17.079
MAR04026	-2.32113	2.32113
MAR04054	0	16.1084
MAR04061	0	28.7821
MAR04083	0	244.873
MAR04136	0	2470.74
MAR04180	0	16.5143
MAR04185	0	39.4026
MAR04186	0	39.4026
MAR04342	0	39.6742
MAR04344	-1000	1000
MAR04483	0	8.51074
MAR04507	0	0.01
MAR04516	0	45.7519
MAR04601	0	11.5798
MAR04633	0	0.54959
MAR04640	0	10.7468
MAR04641	0	16.1084
MAR04680	-36.1713	36.1713
MAR04806	0	5.43981
MAR05394	0	1000
MAR06625	0	8.51074
MAR06626	0	25.5772
MAR07160	0	7.71068
MAR07161	0	1.31348
MAR07162	0	1.31348
MAR07163	0	5.38728
MAR07164	0	5.38728
MAR07713	0	25.5772
MAR07716	0	25.5772
MAR07717	0	25.5772
MAR07721	0	25.5772
MAR07725	0	25.5772
MAR07728	0	25.5772
MAR07800	-0.01	0.01
MAR07801	-89.2374	89.2374
MAR07802	-0.01	0.01
MAR07863	-17.079	17.079
MAR07864	-17.079	17.079
MAR07865	-17.079	17.079
MAR07866	-17.079	17.079
MAR07867	-17.079	17.079
MAR07868	-17.079	17.079
MAR07869	-17.079	17.079
MAR07870	-17.079	17.079
MAR07871	-17.079	17.079
MAR07872	-17.079	17.079
MAR07873	-17.079	17.079
MAR07874	-17.079	17.079
MAR07875	-2.32113	2.32113
MAR07876	-17.079	17.079
MAR07878	-173.105	173.105
MAR07879	0	12.6847
MAR07880	0	25.5772
MAR07881	-173.105	173.105
MAR07882	-173.105	173.105
MAR07883	-173.105	173.105
MAR07884	-173.105	173.105
MAR07885	-173.105	173.105
MAR07886	-173.105	173.105
MAR07887	-173.105	173.105
MAR07888	-173.105	173.105
MAR07889	-173.105	173.105
MAR07890	-173.105	173.105
MAR07891	-173.105	173.105
MAR07892	-173.105	173.105
MAR07893	-173.105	173.105
MAR07894	-173.105	173.105
MAR07895	-173.105	173.105
MAR08083	0	7.68024
MAR08085	0	7.68024
MAR08087	0	7.68024
MAR08443	0	27.6539
MAR08444	0	27.6539
MAR08445	0	16.5143
MAR08446	0	0.01
MAR08448	-17.079	17.079
MAR08449	-17.079	17.079
MAR08450	-17.079	17.079
MAR08451	-17.079	17.079
MAR08452	-17.079	17.079
MAR08453	-17.079	17.079
MAR08454	-17.079	17.079
MAR08455	-17.079	17.079
MAR08456	-17.079	17.079
MAR08457	-17.079	17.079
MAR08458	-17.079	17.079
MAR08459	-17.079	17.079
MAR08460	-17.079	17.079
MAR08461	-0.01	0.01
MAR08462	-17.079	17.079
MAR08463	-17.079	17.079
MAR08464	-17.079	17.079
MAR08465	-17.079	17.079
MAR08466	-17.079	17.079
MAR08467	-17.079	17.079
MAR08468	-17.079	17.079
MAR08469	-17.079	17.079
MAR08470	-17.079	17.079
MAR08471	-17.079	17.079
MAR08472	-17.079	17.079
MAR08473	0	0.54959
MAR08474	0	39.6742
MAR08477	-1.40749	1.40749
MAR08478	-1.40749	1.40749
MAR08479	-1.40749	1.40749
MAR08480	0	0.01
MAR08481	-1000	1000
MAR08482	0	23.5852
MAR08483	0	3.47768
MAR08484	0	1000
MAR08485	0	9.23067
MAR08486	-41.9717	41.9717
MAR08487	0	22.6145
MAR08488	0	12.6847
MAR08489	0	12.6847
MAR08493	0	10.1012
MAR08494	0	10.1012
MAR08495	0	10.1012
MAR03802	-419.091	419.091
MAR03804	-419.091	419.091
MAR03811	0	1874.85
MAR03813	-241.756	241.756
MAR03822	0	185.875
MAR03827	-230.81	230.81
MAR03829	-178.639	178.639
MAR03862	0	47.0971
MAR03865	0	230.81
MAR03870	0	22.3389
MAR03873	0	299.179
MAR08654	0	299.179
MAR03890	0	222.452
MAR03892	0	0.136076
MAR09802	0	218.007
MAR03899	-181.146	181.146
MAR03903	0	0.01
MAR04109	-65.402	65.402
MAR04114	0	116.729
MAR04115	0	116.729
MAR04118	0	22.3389
MAR04172	0	47.0971
MAR04196	0	26.6893
MAR04197	0	72.8561
MAR04287	0	671.787
MAR04690	0	0.01
MAR04693	-42.6511	42.6511
MAR06780	0	232.746
MAR06968	-64.9896	64.9896
MAR06969	-42.1467	42.1467
MAR06970	-181.146	181.146
MAR06971	-6.09165	6.09165
MAR06972	-6.09165	6.09165
MAR07641	0	2.88795
MAR07642	-1000	1000
MAR08626	0	0.01
MAR08628	0	42.1467
MAR03806	-185.875	185.875
MAR03807	-194.483	194.483
MAR03809	-120.933	120.933
MAR03816	0	984.277
MAR03819	-185.875	185.875
MAR03820	-185.875	185.875
MAR03832	0	1000
MAR03833	0	17.1539
MAR03835	0	17.1539
MAR03837	0	1.76175
MAR03895	0	0.266846
MAR03897	0	0.266846
MAR03956	-88.9255	88.9255
MAR03993	0	0.750815
MAR04073	0	7.81894
MAR04075	0	19.6543
MAR04077	0	19.6543
MAR04190	-0.750815	0.750815
MAR04191	0	0.716271
MAR04212	0	13.1155
MAR04422	0	13.1155
MAR04423	0	0.390454
MAR04424	0	164.882
MAR04583	-219.456	219.456
MAR04605	0	777.111
MAR04606	0	0.311827
MAR04607	0	18.9889
MAR04776	0	1.85582
MAR04777	0	1.85582
