rxn	LB	UB
MAR03905	0	754.884
MAR03907	0	207.768
MAR04097	0	38.4597
MAR04099	0	10.369
MAR04108	0	38.4597
MAR04133	0	38.4597
MAR04281	-760.192	760.192
MAR04388	-760.192	760.192
MAR04283	0	1.83939
MAR08357	0	1124.24
MAR04379	0	20.7755
MAR04301	0	20.7755
MAR04355	0	1672.99
MAR04358	0	84.4782
MAR04363	-115.748	115.748
MAR04365	-49.4091	49.4091
MAR04368	-125.108	125.108
MAR04370	0	8.96005
MAR04371	0	49.4091
MAR04372	0	8.96005
MAR04373	-554.854	554.854
MAR04375	-1672.99	1672.99
MAR04377	0	541.689
MAR04381	-85.5369	85.5369
MAR04391	-245.166	245.166
MAR04394	0	40.4838
MAR04396	-97.334	97.334
MAR04521	0	52.3604
MAR06412	0	4.28291
MAR07745	-41.9728	41.9728
MAR07747	0	6.75078
MAR08360	0	774.385
MAR08652	0	52.3604
MAR08757	0	2853.64
MAR03989	0	30.7317
MAR04122	0	39.0915
MAR04837	0	17.1631
MAR05395	0	3.49533
MAR05396	0	31.6677
MAR09727	0	45.029
MAR05397	0	18.407
MAR05398	0	121.277
MAR05399	0	10.4737
MAR05400	0	10.4737
MAR05401	0	121.277
MAR08568	0	199.365
MAR08569	0	199.365
MAR08570	0	199.365
MAR08571	0	199.365
MAR08572	0	199.365
MAR08573	0	199.365
MAR08574	0	199.365
MAR08575	0	199.365
MAR08576	0	199.365
MAR08577	0	199.365
MAR08578	0	199.365
MAR08579	0	199.365
MAR08581	0	199.365
MAR08591	0	16.4834
MAR08592	0	30.7317
MAR08580	0	199.365
MAR08582	0	199.365
MAR08587	0	16.4834
MAR08589	0	30.7317
MAR08583	0	16.4834
MAR08584	0	0.01
MAR08585	0	1.06973
MAR03944	0	98.6061
MAR04128	-3.25272	3.25272
MAR04130	0	61.1593
MAR04131	-28.2822	28.2822
MAR04132	0	28.2822
MAR04303	0	30.7317
MAR04414	0	61.1593
MAR04415	0	0.01
MAR04416	0	131.197
MAR04774	-20.7755	20.7755
MAR04775	-20.7755	20.7755
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	14.6087
MAR08761	0	331.626
MAR08762	-1672.99	1672.99
MAR08764	0	0.01
MAR08766	-4.81224	4.81224
MAR08767	0	28.2822
MAR00454	0	1000
MAR04297	0	3.49515
MAR04310	0	331.626
MAR04315	-553.093	553.093
MAR04316	-4.81224	4.81224
MAR04317	0	30.9764
MAR04318	0	30.9764
MAR04319	0	3.07046
MAR04320	0	30.9764
MAR04356	0	1672.99
MAR04383	-3.12328	3.12328
MAR04385	0	17.5072
MAR04386	0	14.8839
MAR04387	0	7.71568
MAR04399	0	0.01
MAR04400	0	16.9622
MAR04401	0	2.00217
MAR04402	-3.57442	3.57442
MAR04403	0	1000
MAR04490	0	3.07046
MAR04706	0	3.49515
MAR08768	0	16.9622
MAR04590	0	220.738
MAR04591	0	131.336
MAR04592	-4.81224	4.81224
MAR04593	0	553.093
MAR04594	0	70.4101
MAR04595	-42.634	42.634
MAR08341	0	207.768
MAR08342	-1000	1000
MAR08344	-207.768	207.768
MAR08352	-8.40912	8.40912
MAR08353	-1000	1000
MAR08726	0	8.53456
MAR08727	0	18.6472
MAR08728	0	1000
MAR08729	0	2.08588
MAR06537	-207.768	207.768
MAR01568	0	1.83939
MAR03853	0	139.366
MAR03854	0	4.81224
MAR03855	0	4.81224
MAR03857	0	140.304
MAR03859	0	46.489
MAR04087	0	2.26484
MAR04089	0	19.5481
MAR04091	0	2.26484
MAR04093	0	45.9321
MAR04095	0	45.9321
MAR04101	0	561.608
MAR04103	0	2.61561
MAR04143	0	188.523
MAR04193	0	84.4782
MAR08497	0	207.768
MAR08498	0	2853.64
MAR08499	0	2853.64
MAR08500	0	207.768
MAR08501	0	246.419
MAR08502	-754.884	754.884
MAR08503	0	207.584
MAR08504	0	1124.24
MAR08506	0	1124.24
MAR08507	0	754.884
MAR08508	0	754.884
MAR08509	0	207.768
MAR08511	0	140.304
MAR08512	-46.489	46.489
MAR08514	0	46.489
MAR08516	0	10.024
MAR08517	0	1000
MAR04280	-1.13757	1.13757
MAR00153	0	38.4597
MAR03212	0	277.175
MAR03797	0	38.4597
MAR03800	0	23.2513
MAR04105	0	62.3785
MAR04106	0	62.3785
MAR04107	0	62.3785
MAR04282	0	154.809
MAR04331	-38.4597	38.4597
MAR04459	0	38.4597
MAR04460	0	38.4597
MAR04464	0	1000
MAR04497	0	388.621
MAR04741	0	37.9972
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-328.901	328.901
MAR00718	0	16.7635
MAR00719	0	0.391331
MAR01434	-186.389	186.389
MAR01436	0	3.88937
MAR03163	0	277.175
MAR04461	-150.961	150.961
MAR04604	0	95.9613
MAR05351	-1.13757	1.13757
MAR07709	-73.3657	73.3657
MAR04052	0	15.2848
MAR04304	0	3.49493
MAR04350	-8.53456	8.53456
MAR04351	-3.44477	3.44477
MAR04352	-3.44477	3.44477
MAR04354	-97.334	97.334
MAR04398	-35.3868	35.3868
MAR04404	-36.6637	36.6637
MAR04473	0	13.0326
MAR04474	0	13.0326
MAR04476	-14.0647	14.0647
MAR04477	-11.1078	11.1078
MAR04501	-36.6637	36.6637
MAR04565	-73.5999	73.5999
MAR04567	0	20.7755
MAR09799	-22.5703	22.5703
MAR09800	-331.626	331.626
MAR04623	0	85.2198
MAR04625	0	27.5356
MAR04710	-97.334	97.334
MAR04841	-1.83939	1.83939
MAR08074	0	8.53456
MAR08653	-85.2198	85.2198
MAR03998	0	67.1697
MAR04000	0	16.0443
MAR04002	-126.581	126.581
MAR04004	-126.581	126.581
MAR04010	0	30.6434
MAR04081	0	30.6434
MAR04082	0	30.6434
MAR04012	0	335.135
MAR04014	0	14.3287
MAR04020	-21.8397	21.8397
MAR04022	0	16.0443
MAR04038	-10.2934	10.2934
MAR04040	0	22.5376
MAR04042	0	18.1505
MAR04046	0	4.16031
MAR04048	0	14.3287
MAR04080	0	4.99826
MAR04085	0	28.2532
MAR04086	0	28.2532
MAR04134	0	67.1697
MAR04135	-21.8397	21.8397
MAR04168	0	9.06717
MAR04171	0	84.4782
MAR04290	0	26.7737
MAR04406	0	6.32984
MAR04412	-8.83809	8.83809
MAR04417	0	30.6434
MAR04418	0	29.0354
MAR04419	0	6.72378
MAR04421	0	84.4782
MAR04449	0	30.6434
MAR04450	0	30.6434
MAR04451	0	1000
MAR04452	0	29.0354
MAR04453	0	4.16031
MAR04480	-277.175	277.175
MAR04481	0	1.31767
MAR04482	0	1.31767
MAR04486	0	3.07046
MAR04487	0	3.07046
MAR04488	0	3.07046
MAR04489	0	3.07046
MAR04492	0	3.07046
MAR04493	0	3.07046
MAR04495	0	3.07046
MAR04496	0	3.07046
MAR04518	0	7.15364
MAR04519	0	32.5643
MAR04520	0	32.5643
MAR04573	0	84.4782
MAR04574	-43.7877	43.7877
MAR04600	0	9.1396
MAR04602	0	30.6434
MAR04603	-43.7877	43.7877
MAR04611	0	0.901562
MAR04612	0	0.901562
MAR04614	0	0.901562
MAR04615	0	0.901562
MAR04617	0	0.901562
MAR04618	0	0.901562
MAR04619	0	0.901562
MAR04621	0	0.901562
MAR04632	0	30.6434
MAR04646	0	32.5643
MAR04648	0	32.5643
MAR04649	0	32.5643
MAR04650	0	32.5643
MAR04651	-43.7877	43.7877
MAR04663	-43.7877	43.7877
MAR04664	0	29.0354
MAR04694	0	1.31767
MAR04695	-43.7877	43.7877
MAR04705	0	30.6434
MAR04709	-43.7877	43.7877
MAR04799	0	10.4542
MAR04802	0	10.4542
MAR04804	-66.8254	66.8254
MAR04808	0	2.84903
MAR04810	0	66.8254
MAR04812	-8.83809	8.83809
MAR04814	-10.2934	10.2934
MAR05301	0	16.8254
MAR05353	-21.8397	21.8397
MAR06601	0	0.01
MAR06602	-185.121	185.121
MAR06603	-185.121	185.121
MAR06605	-1000	1000
MAR06606	-1000	1000
MAR06607	-1000	1000
MAR06609	-1000	1000
MAR06610	0	1000
MAR06611	-1000	1000
MAR07144	0	26.4046
MAR08755	0	32.5643
MAR09797	0	1000
MAR04016	-149.116	149.116
MAR04018	-149.116	149.116
MAR04044	-149.116	149.116
MAR04291	-149.116	149.116
MAR04420	0	149.116
MAR04570	-149.116	149.116
MAR04572	0	149.116
MAR04006	-149.116	149.116
MAR04028	-149.116	149.116
MAR04030	-149.116	149.116
MAR04670	-149.116	149.116
MAR04673	-149.116	149.116
MAR04675	0	149.116
MAR06614	-149.116	149.116
MAR06615	-149.116	149.116
MAR06616	-149.116	149.116
MAR04635	-149.116	149.116
MAR03793	-55.6435	55.6435
MAR03931	0	40.7963
MAR03969	0	16.8254
MAR03970	0	30.6434
MAR04008	-20.9273	20.9273
MAR04032	0	3.45088
MAR04034	0	1.19777
MAR04036	0	13.6206
MAR04050	-1.19777	1.19777
MAR04056	0	30.6434
MAR04059	0	67.1697
MAR04060	0	67.1697
MAR04127	0	21.327
MAR04177	0	30.6434
MAR04179	0	30.6434
MAR04182	0	30.9764
