rxn	LB	UB
MAR03905	0	1034.79
MAR03907	0	234.292
MAR04097	0	58.4796
MAR04099	0	3.09674
MAR04108	0	58.4796
MAR04133	0	58.4796
MAR04281	-345.915	345.915
MAR04388	-345.915	345.915
MAR04283	0	2.28882
MAR08357	0	832.875
MAR04379	0	16.2549
MAR04301	0	16.2549
MAR04355	0	1024.78
MAR04358	0	51.6585
MAR04363	-117.281	117.281
MAR04365	-59.4023	59.4023
MAR04368	-152.401	152.401
MAR04370	0	5.96791
MAR04371	0	59.4023
MAR04372	0	5.96791
MAR04373	-643.199	643.199
MAR04375	-1024.78	1024.78
MAR04377	0	394.193
MAR04381	-102.894	102.894
MAR04391	-253.263	253.263
MAR04394	0	61.8954
MAR04396	-88.7794	88.7794
MAR04521	0	54.9649
MAR06412	0	5.20295
MAR07745	-40.2708	40.2708
MAR07747	0	5.14054
MAR08360	0	598.752
MAR08652	0	54.9649
MAR08757	0	1987.61
MAR03989	0	27.2571
MAR04122	0	84.4991
MAR04837	0	10.3218
MAR05395	0	4.08599
MAR05396	0	19.5279
MAR09727	0	30.2886
MAR05397	0	20.3379
MAR05398	0	108.747
MAR05399	0	6.79568
MAR05400	0	6.79568
MAR05401	0	108.747
MAR08568	0	116.44
MAR08569	0	116.44
MAR08570	0	116.44
MAR08571	0	116.44
MAR08572	0	116.44
MAR08573	0	116.44
MAR08574	0	116.44
MAR08575	0	116.44
MAR08576	0	116.44
MAR08577	0	116.44
MAR08578	0	116.44
MAR08579	0	116.44
MAR08581	0	116.44
MAR08591	0	12.0785
MAR08592	0	27.2571
MAR08580	0	116.44
MAR08582	0	116.44
MAR08587	0	12.0785
MAR08589	0	27.2571
MAR08583	0	12.0785
MAR08584	0	0.01
MAR08585	0	0.5959
MAR03944	0	102.996
MAR04128	-8.85035	8.85035
MAR04130	0	41.6389
MAR04131	-29.1853	29.1853
MAR04132	0	29.1853
MAR04303	0	27.2571
MAR04414	0	41.6389
MAR04415	0	0.01
MAR04416	0	214.909
MAR04774	-16.2549	16.2549
MAR04775	-16.2549	16.2549
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	10.7323
MAR08761	0	174.118
MAR08762	-1024.78	1024.78
MAR08764	0	0.01
MAR08766	-11.752	11.752
MAR08767	0	29.1853
MAR00454	0	1000
MAR04297	0	4.84419
MAR04310	0	174.118
MAR04315	-473.558	473.558
MAR04316	-11.752	11.752
MAR04317	0	30.603
MAR04318	0	30.603
MAR04319	0	2.96412
MAR04320	0	30.603
MAR04356	0	1024.78
MAR04383	-6.10952	6.10952
MAR04385	0	20.731
MAR04386	0	15.2843
MAR04387	0	9.62543
MAR04399	0	1.36396
MAR04400	0	14.8082
MAR04401	0	2.88379
MAR04402	-3.1395	3.1395
MAR04403	0	1000
MAR04490	0	2.96412
MAR04706	0	4.84419
MAR08768	0	14.8082
MAR04590	0	131.276
MAR04591	0	95.0728
MAR04592	-11.752	11.752
MAR04593	0	473.558
MAR04594	0	42.2047
MAR04595	-44.1039	44.1039
MAR08341	0	234.292
MAR08342	-1000	1000
MAR08344	-234.292	234.292
MAR08352	-9.89664	9.89664
MAR08353	-1000	1000
MAR08726	0	8.19435
MAR08727	0	12.5756
MAR08728	0	1000
MAR08729	0	2.39202
MAR06537	-234.292	234.292
MAR01568	0	2.28882
MAR03853	0	195.744
MAR03854	0	11.752
MAR03855	0	11.752
MAR03857	0	172.465
MAR03859	0	49.8204
MAR04087	0	1.74699
MAR04089	0	28.0091
MAR04091	0	1.74699
MAR04093	0	24.8688
