rxn	LB	UB
MAR03905	0	1259.86
MAR03907	0	207.338
MAR04097	0	24.1917
MAR04099	0	7.67378
MAR04108	0	24.1917
MAR04133	0	24.1917
MAR04281	-372.458	372.458
MAR04388	-372.458	372.458
MAR04283	0	2.19881
MAR08357	0	1041.57
MAR04379	0	17.6361
MAR04301	0	17.6361
MAR04355	0	1411.64
MAR04358	0	72.2291
MAR04363	-251.025	251.025
MAR04365	-50.5872	50.5872
MAR04368	-129.076	129.076
MAR04370	0	6.5863
MAR04371	0	50.5872
MAR04372	0	6.5863
MAR04373	-727.534	727.534
MAR04375	-1411.64	1411.64
MAR04377	0	592.178
MAR04381	-85.091	85.091
MAR04391	-265.901	265.901
MAR04394	0	75.2794
MAR04396	-105.226	105.226
MAR04521	0	61.919
MAR06412	0	4.61416
MAR07745	-48.4899	48.4899
MAR07747	0	2.67529
MAR08360	0	871.985
MAR08652	0	61.919
MAR08757	0	3826.3
MAR03989	0	25.6453
MAR04122	0	22.5128
MAR04837	0	15.3491
MAR05395	0	2.57641
MAR05396	0	61.4851
MAR09727	0	61.4851
MAR05397	0	33.164
MAR05398	0	109.748
MAR05399	0	7.10929
MAR05400	0	7.10929
MAR05401	0	109.748
MAR08568	0	103.597
MAR08569	0	103.597
MAR08570	0	103.597
MAR08571	0	103.597
MAR08572	0	103.597
MAR08573	0	103.597
MAR08574	0	103.597
MAR08575	0	103.597
MAR08576	0	103.597
MAR08577	0	103.597
MAR08578	0	103.597
MAR08579	0	103.597
MAR08581	0	103.597
MAR08591	0	12.5871
MAR08592	0	25.6453
MAR08580	0	103.597
MAR08582	0	103.597
MAR08587	0	12.5871
MAR08589	0	25.6453
MAR08583	0	12.5871
MAR08584	0	0.01
MAR08585	0	0.565563
MAR03944	0	91.8422
MAR04128	-0.820227	0.820227
MAR04130	0	61.3987
MAR04131	-23.6565	23.6565
MAR04132	0	23.6565
MAR04303	0	25.6453
MAR04414	0	61.3987
MAR04415	0	0.01
MAR04416	0	149.963
MAR04774	-17.6361	17.6361
MAR04775	-17.6361	17.6361
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	10.5734
MAR08761	0	316.112
MAR08762	-1411.64	1411.64
MAR08764	0	0.01
MAR08766	-5.28444	5.28444
MAR08767	0	23.6565
MAR00454	0	1000
MAR04297	0	8.2202
MAR04310	0	316.112
MAR04315	-761.856	761.856
MAR04316	-5.28444	5.28444
MAR04317	0	40.898
MAR04318	0	40.898
MAR04319	0	1.85675
MAR04320	0	40.898
MAR04356	0	1411.64
MAR04383	-4.30808	4.30808
MAR04385	0	25.477
MAR04386	0	13.4726
MAR04387	0	7.03617
MAR04399	0	0.75887
MAR04400	0	19.5956
MAR04401	0	1.69626
MAR04402	-2.77574	2.77574
MAR04403	0	1000
MAR04490	0	1.85675
MAR04706	0	8.2202
MAR08768	0	19.5956
MAR04590	0	190.76
MAR04591	0	148.234
MAR04592	-5.28444	5.28444
MAR04593	0	761.856
MAR04594	0	45.7288
MAR04595	-44.2343	44.2343
MAR08341	0	207.338
MAR08342	-1000	1000
MAR08344	-207.338	207.338
MAR08352	-12.0004	12.0004
MAR08353	-1000	1000
MAR08726	0	12.3906
MAR08727	0	16.685
MAR08728	0	1000
MAR08729	0	1.3558
MAR06537	-207.338	207.338
MAR01568	0	2.19881
MAR03853	0	124.089
MAR03854	0	5.28444
MAR03855	0	5.28444
MAR03857	0	182.334
MAR03859	0	53.9773
MAR04087	0	1.18027
MAR04089	0	35.2191
MAR04091	0	1.18027
MAR04093	0	43.8604
MAR04095	0	43.8604
MAR04101	0	1061.47
MAR04103	0	0.990725
MAR04143	0	197.476
MAR04193	0	72.2291
MAR08497	0	207.338
MAR08498	0	3826.3
MAR08499	0	3826.3
MAR08500	0	207.338
MAR08501	0	203.903
MAR08502	-1259.86	1259.86
MAR08503	0	160.712
MAR08504	0	1041.57
MAR08506	0	1041.57
MAR08507	0	1259.86
MAR08508	0	1259.86
MAR08509	0	207.338
MAR08511	0	182.334
MAR08512	-53.9773	53.9773
MAR08514	0	53.9773
MAR08516	0	12.8937
MAR08517	0	1000
MAR04280	-2.09229	2.09229
MAR00153	0	24.1917
MAR03212	0	205.327
MAR03797	0	24.1917
MAR03800	0	27.1747
MAR04105	0	33.0462
MAR04106	0	33.0462
MAR04107	0	33.0462
MAR04282	0	128.089
MAR04331	-24.1917	24.1917
MAR04459	0	24.1917
MAR04460	0	24.1917
MAR04464	0	1000
MAR04497	0	202.065
MAR04741	0	33.7825
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-419.635	419.635
