rxn	LB	UB
MAR03905	0	942.292
MAR03907	0	246.233
MAR04097	0	24.4404
MAR04099	0	5.46584
MAR04108	0	24.4404
MAR04133	0	24.4404
MAR04281	-798.504	798.504
MAR04388	-798.504	798.504
MAR04283	0	4.0065
MAR08357	0	1401.53
MAR04379	0	23.1648
MAR04301	0	23.1648
MAR04355	0	1552.75
MAR04358	0	91.5
MAR04363	-203.979	203.979
MAR04365	-59.9024	59.9024
MAR04368	-128.871	128.871
MAR04370	0	7.21475
MAR04371	0	59.9024
MAR04372	0	7.21475
MAR04373	-776.91	776.91
MAR04375	-1552.75	1552.75
MAR04377	0	537.8
MAR04381	-111.908	111.908
MAR04391	-310.325	310.325
MAR04394	0	73.3358
MAR04396	-124.978	124.978
MAR04521	0	72.2253
MAR06412	0	6.86259
MAR07745	-38.8061	38.8061
MAR07747	0	3.65142
MAR08360	0	985.716
MAR08652	0	72.2253
MAR08757	0	2619.31
MAR03989	0	48.1651
MAR04122	0	38.751
MAR04837	0	13.6047
MAR05395	0	1.45824
MAR05396	0	31.6775
MAR09727	0	44.5613
MAR05397	0	22.2231
MAR05398	0	105.896
MAR05399	0	4.60301
MAR05400	0	4.60301
MAR05401	0	105.896
MAR08568	0	110.448
MAR08569	0	110.448
MAR08570	0	110.448
MAR08571	0	110.448
MAR08572	0	110.448
MAR08573	0	110.448
MAR08574	0	110.448
MAR08575	0	110.448
MAR08576	0	110.448
MAR08577	0	110.448
MAR08578	0	110.448
MAR08579	0	110.448
MAR08581	0	110.448
MAR08591	0	11.0554
MAR08592	0	48.1651
MAR08580	0	110.448
MAR08582	0	110.448
MAR08587	0	11.0554
MAR08589	0	48.1651
MAR08583	0	11.0554
MAR08584	0	0.01
MAR08585	0	0.187295
MAR03944	0	50.7228
MAR04128	-5.45573	5.45573
MAR04130	0	49.9711
MAR04131	-40.3435	40.3435
MAR04132	0	40.3435
MAR04303	0	48.1651
MAR04414	0	49.9711
MAR04415	0	0.01
MAR04416	0	123.668
MAR04774	-23.1648	23.1648
MAR04775	-23.1648	23.1648
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	14.538
MAR08761	0	414.375
MAR08762	-1552.75	1552.75
MAR08764	0	0.01
MAR08766	-4.87313	4.87313
MAR08767	0	40.3435
MAR00454	0	1000
MAR04297	0	2.60062
MAR04310	0	414.375
MAR04315	-426.752	426.752
MAR04316	-4.87313	4.87313
MAR04317	0	23.6259
MAR04318	0	23.6259
MAR04319	0	2.79718
MAR04320	0	23.6259
MAR04356	0	1552.75
MAR04383	-5.27455	5.27455
MAR04385	0	22.8327
MAR04386	0	19.5173
MAR04387	0	11.6981
MAR04399	0	0.668652
MAR04400	0	22.343
MAR04401	0	1.4954
MAR04402	-4.11088	4.11088
MAR04403	0	1000
MAR04490	0	2.79718
MAR04706	0	2.60062
MAR08768	0	22.343
MAR04590	0	213.398
MAR04591	0	130.14
MAR04592	-4.87313	4.87313
MAR04593	0	426.752
MAR04594	0	36.6349
MAR04595	-47.5925	47.5925
MAR08341	0	246.233
MAR08342	-1000	1000
MAR08344	-246.233	246.233
MAR08352	-16.253	16.253
MAR08353	-1000	1000
MAR08726	0	20.5426
MAR08727	0	18.6353
MAR08728	0	1000
MAR08729	0	2.27572
MAR06537	-246.233	246.233
MAR01568	0	4.0065
MAR03853	0	215.285
MAR03854	0	4.87313
MAR03855	0	4.87313
MAR03857	0	203.217
MAR03859	0	97.1608
MAR04087	0	1.52968
MAR04089	0	50.74
MAR04091	0	1.52968
MAR04093	0	52.6889
MAR04095	0	52.6889
MAR04101	0	748.391
MAR04103	0	2.3209
MAR04143	0	226.426
MAR04193	0	91.5
MAR08497	0	246.233
MAR08498	0	2619.31
MAR08499	0	2619.31
MAR08500	0	246.233
MAR08501	0	283.582
MAR08502	-942.292	942.292
MAR08503	0	205.87
MAR08504	0	1401.53
MAR08506	0	1401.53
MAR08507	0	942.292
MAR08508	0	942.292
MAR08509	0	246.233
MAR08511	0	203.217
MAR08512	-97.1608	97.1608
MAR08514	0	97.1608
MAR08516	0	12.4424
MAR08517	0	1000
MAR04280	-0.863571	0.863571
MAR00153	0	24.4404
MAR03212	0	299.389
MAR03797	0	24.4404
MAR03800	0	17.0712
MAR04105	0	65.503
MAR04106	0	65.503
MAR04107	0	65.503
MAR04282	0	105.376
MAR04331	-24.4404	24.4404
MAR04459	0	24.4404
MAR04460	0	24.4404
MAR04464	0	1000
MAR04497	0	316.734
MAR04741	0	23.296
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-247.608	247.608
MAR00718	0	11.7017
MAR00719	0	0.794108
MAR01434	-124.946	124.946
MAR01436	0	11.3639
MAR03163	0	299.389
MAR04461	-201.093	201.093
MAR04604	0	56.6991
MAR05351	-0.863571	0.863571
MAR07709	-107.164	107.164
MAR04052	0	13.3843
MAR04304	0	1.98251
MAR04350	-20.5426	20.5426
MAR04351	-3.28624	3.28624
MAR04352	-3.28624	3.28624
MAR04354	-124.978	124.978
MAR04398	-36.5697	36.5697
MAR04404	-34.9537	34.9537
MAR04473	0	15.0779
MAR04474	0	15.0779
MAR04476	-21.1932	21.1932
MAR04477	-4.86509	4.86509
MAR04501	-34.9537	34.9537
MAR04565	-78.8492	78.8492
MAR04567	0	23.1648
MAR09799	-22.6029	22.6029
MAR09800	-414.375	414.375
MAR04623	0	108.535
MAR04625	0	68.2441
MAR04710	-124.978	124.978
MAR04841	-4.0065	4.0065
MAR08074	0	20.5426
MAR08653	-108.535	108.535
MAR03998	0	60.1655
MAR04000	0	29.106
MAR04002	-152.157	152.157
MAR04004	-152.157	152.157
MAR04010	0	17.7409
MAR04081	0	17.7409
MAR04082	0	17.7409
MAR04012	0	212.452
MAR04014	0	10.4988
MAR04020	-31.358	31.358
MAR04022	0	29.106
MAR04038	-9.23909	9.23909
MAR04040	0	18.3923
MAR04042	0	22.9427
MAR04046	0	3.47581
MAR04048	0	10.4988
MAR04080	0	12.3357
MAR04085	0	45.9711
MAR04086	0	45.9711
MAR04134	0	60.1655
MAR04135	-31.358	31.358
MAR04168	0	11.6229
MAR04171	0	91.5
MAR04290	0	42.5473
MAR04406	0	2.45316
MAR04412	-5.48688	5.48688
MAR04417	0	17.7409
MAR04418	0	21.5648
MAR04419	0	4.86909
MAR04421	0	91.5
MAR04449	0	17.7409
MAR04450	0	17.7409
MAR04451	0	1000
MAR04452	0	21.5648
