rxn	LB	UB
MAR03905	0	586.748
MAR03907	0	236.602
MAR04097	0	20.6701
MAR04099	0	1.30648
MAR04108	0	20.6701
MAR04133	0	20.6701
MAR04281	-658.966	658.966
MAR04388	-658.966	658.966
MAR04283	0	2.79261
MAR08357	0	725.057
MAR04379	0	17.246
MAR04301	0	17.246
MAR04355	0	1327.81
MAR04358	0	35.0502
MAR04363	-99.7604	99.7604
MAR04365	-42.4426	42.4426
MAR04368	-113.328	113.328
MAR04370	0	7.24583
MAR04371	0	42.4426
MAR04372	0	7.24583
MAR04373	-473.639	473.639
MAR04375	-1327.81	1327.81
MAR04377	0	417.519
MAR04381	-92.3976	92.3976
MAR04391	-313.734	313.734
MAR04394	0	34.7133
MAR04396	-79.8474	79.8474
MAR04521	0	51.5813
MAR06412	0	3.78357
MAR07745	-28.2751	28.2751
MAR07747	0	3.6563
MAR08360	0	524.105
MAR08652	0	51.5813
MAR08757	0	2931.39
MAR03989	0	24.5037
MAR04122	0	25.8534
MAR04837	0	10.1534
MAR05395	0	1.75809
MAR05396	0	22.2129
MAR09727	0	25.54
MAR05397	0	9.66952
MAR05398	0	53.4267
MAR05399	0	2.94567
MAR05400	0	2.94567
MAR05401	0	53.4267
MAR08568	0	125.776
MAR08569	0	125.776
MAR08570	0	125.776
MAR08571	0	125.776
MAR08572	0	125.776
MAR08573	0	125.776
MAR08574	0	125.776
MAR08575	0	125.776
MAR08576	0	125.776
MAR08577	0	125.776
MAR08578	0	125.776
MAR08579	0	125.776
MAR08581	0	125.776
MAR08591	0	6.67147
MAR08592	0	24.5037
MAR08580	0	125.776
MAR08582	0	125.776
MAR08587	0	6.67147
MAR08589	0	24.5037
MAR08583	0	6.67147
MAR08584	0	0.01
MAR08585	0	0.136835
MAR03944	0	44.5801
MAR04128	-5.96561	5.96561
MAR04130	0	60.6525
MAR04131	-35.6138	35.6138
MAR04132	0	35.6138
MAR04303	0	24.5037
MAR04414	0	60.6525
MAR04415	0	0.01
MAR04416	0	198.123
MAR04774	-17.246	17.246
MAR04775	-17.246	17.246
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	4.81149
MAR08761	0	315.828
MAR08762	-1327.81	1327.81
MAR08764	0	0.01
MAR08766	-6.12841	6.12841
MAR08767	0	35.6138
MAR00454	0	1000
MAR04297	0	5.86776
MAR04310	0	315.828
MAR04315	-167.155	167.155
MAR04316	-6.12841	6.12841
MAR04317	0	17.6856
MAR04318	0	17.6856
MAR04319	0	2.47886
MAR04320	0	17.6856
MAR04356	0	1327.81
MAR04383	-4.56045	4.56045
MAR04385	0	21.0876
MAR04386	0	10.3188
MAR04387	0	10.3188
MAR04399	0	0.0567955
MAR04400	0	16.5913
MAR04401	0	1.1331
MAR04402	-3.05237	3.05237
MAR04403	0	1000
MAR04490	0	2.47886
MAR04706	0	5.86776
MAR08768	0	16.5913
MAR04590	0	209.08
MAR04591	0	139.57
MAR04592	-6.12841	6.12841
MAR04593	0	167.155
MAR04594	0	32.1753
MAR04595	-28.6005	28.6005
MAR08341	0	236.602
MAR08342	-1000	1000
MAR08344	-236.602	236.602
MAR08352	-11.6487	11.6487
MAR08353	-1000	1000
MAR08726	0	12.6714
MAR08727	0	19.887
MAR08728	0	1000
MAR08729	0	1.22693
MAR06537	-236.602	236.602
MAR01568	0	2.79261
MAR03853	0	225.91
MAR03854	0	6.12841
MAR03855	0	6.12841
MAR03857	0	156.948
MAR03859	0	87.6099
MAR04087	0	1.38932
MAR04089	0	13.7624
MAR04091	0	1.38932
MAR04093	0	34.9946
MAR04095	0	34.9946
MAR04101	0	511.031
MAR04103	0	1.10229
MAR04143	0	129.137
MAR04193	0	35.0502
MAR08497	0	236.602
MAR08498	0	2931.39
MAR08499	0	2931.39
MAR08500	0	236.602
MAR08501	0	220.39
MAR08502	-586.748	586.748
MAR08503	0	142.145
MAR08504	0	725.057
MAR08506	0	725.057
MAR08507	0	586.748
MAR08508	0	586.748
MAR08509	0	236.602
MAR08511	0	156.948
MAR08512	-87.6099	87.6099
MAR08514	0	87.6099
MAR08516	0	11.5091
MAR08517	0	1000
MAR04280	-0.442184	0.442184
MAR00153	0	20.6701
MAR03212	0	227.718
MAR03797	0	20.6701
MAR03800	0	17.5376
MAR04105	0	29.2413
MAR04106	0	29.2413
MAR04107	0	29.2413
MAR04282	0	64.3881
MAR04331	-20.6701	20.6701
MAR04459	0	20.6701
MAR04460	0	20.6701
MAR04464	0	1000
MAR04497	0	151.93
MAR04741	0	23.2034
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-293.942	293.942
MAR00718	0	9.16576
MAR00719	0	0.177576
MAR01434	-142.74	142.74
MAR01436	0	3.12988
MAR03163	0	227.718
MAR04461	-148.658	148.658
MAR04604	0	25.0497
MAR05351	-0.442184	0.442184
MAR07709	-78.1193	78.1193
MAR04052	0	9.45601
MAR04304	0	1.44887
MAR04350	-12.6714	12.6714
MAR04351	-1.07605	1.07605
MAR04352	-1.07605	1.07605
MAR04354	-79.8474	79.8474
MAR04398	-30.2139	30.2139
MAR04404	-24.0616	24.0616
MAR04473	0	8.18406
MAR04474	0	8.18406
MAR04476	-22.5613	22.5613
MAR04477	-5.10057	5.10057
MAR04501	-24.0616	24.0616
MAR04565	-80.1512	80.1512
MAR04567	0	17.246
MAR09799	-15.0839	15.0839
MAR09800	-315.828	315.828
MAR04623	0	55.143
MAR04625	0	56.0219
MAR04710	-79.8474	79.8474
MAR04841	-2.79261	2.79261
MAR08074	0	12.6714
MAR08653	-56.0219	56.0219
MAR03998	0	34.7424
MAR04000	0	20.9624
MAR04002	-111.346	111.346
MAR04004	-111.346	111.346
MAR04010	0	34.3933
MAR04081	0	34.3933
MAR04082	0	34.3933
MAR04012	0	219.166
MAR04014	0	8.34819
MAR04020	-25.8189	25.8189
MAR04022	0	20.9624
MAR04038	-6.51388	6.51388
MAR04040	0	15.9486
MAR04042	0	14.1917
