rxn	LB	UB
MAR03905	0	763.492
MAR03907	0	304.46
MAR04097	0	33.7031
MAR04099	0	0.0751138
MAR04108	0	33.7031
MAR04133	0	33.7031
MAR04281	-331.181	331.181
MAR04388	-331.181	331.181
MAR04283	0	2.45541
MAR08357	0	657.398
MAR04379	0	8.13342
MAR04301	0	8.13342
MAR04355	0	1252.05
MAR04358	0	65.6261
MAR04363	-106.494	106.494
MAR04365	-64.7888	64.7888
MAR04368	-126.642	126.642
MAR04370	0	7.5542
MAR04371	0	64.7888
MAR04372	0	7.5542
MAR04373	-613.523	613.523
MAR04375	-1252.05	1252.05
MAR04377	0	490.326
MAR04381	-72.7396	72.7396
MAR04391	-308.195	308.195
MAR04394	0	31.4688
MAR04396	-54.8986	54.8986
MAR04521	0	39.957
MAR06412	0	5.16349
MAR07745	-39.09	39.09
MAR07747	0	2.85093
MAR08360	0	637.162
MAR08652	0	39.957
MAR08757	0	2293.78
MAR03989	0	15.4459
MAR04122	0	58.8443
MAR04837	0	7.90647
MAR05395	0	3.45527
MAR05396	0	27.535
MAR09727	0	27.535
MAR05397	0	13.3034
MAR05398	0	68.0305
MAR05399	0	3.11633
MAR05400	0	3.11633
MAR05401	0	68.0305
MAR08568	0	121.214
MAR08569	0	121.214
MAR08570	0	121.214
MAR08571	0	121.214
MAR08572	0	121.214
MAR08573	0	121.214
MAR08574	0	121.214
MAR08575	0	121.214
MAR08576	0	121.214
MAR08577	0	121.214
MAR08578	0	121.214
MAR08579	0	121.214
MAR08581	0	121.214
MAR08591	0	6.23597
MAR08592	0	15.4459
MAR08580	0	121.214
MAR08582	0	121.214
MAR08587	0	6.23597
MAR08589	0	15.4459
MAR08583	0	6.23597
MAR08584	0	0.01
MAR08585	0	0.0666853
MAR03944	0	82.9866
MAR04128	-3.29148	3.29148
MAR04130	0	62.8178
MAR04131	-33.4448	33.4448
MAR04132	0	33.4448
MAR04303	0	15.4459
MAR04414	0	62.8178
MAR04415	0	0.01
MAR04416	0	199.611
MAR04774	-8.13342	8.13342
MAR04775	-8.13342	8.13342
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	8.75669
MAR08761	0	322.332
MAR08762	-1252.05	1252.05
MAR08764	0	0.01
MAR08766	-9.76306	9.76306
MAR08767	0	33.4448
MAR00454	0	1000
MAR04297	0	3.51653
MAR04310	0	322.332
MAR04315	-441.517	441.517
MAR04316	-9.76306	9.76306
MAR04317	0	16.5143
MAR04318	0	16.5143
MAR04319	0	0.538455
MAR04320	0	16.5143
MAR04356	0	1252.05
MAR04383	-3.34873	3.34873
MAR04385	0	19.2689
MAR04386	0	10.442
MAR04387	0	10.442
MAR04399	0	0.963906
MAR04400	0	30.796
MAR04401	0	1.3862
MAR04402	-2.54076	2.54076
MAR04403	0	1000
MAR04490	0	0.538455
MAR04706	0	3.51653
MAR08768	0	30.796
MAR04590	0	176.389
MAR04591	0	90.0242
MAR04592	-9.76306	9.76306
MAR04593	0	441.517
MAR04594	0	29.4027
MAR04595	-28.4946	28.4946
MAR08341	0	304.46
MAR08342	-1000	1000
MAR08344	-304.46	304.46
MAR08352	-14.787	14.787
MAR08353	-1000	1000
MAR08726	0	12.7371
MAR08727	0	19.7054
MAR08728	0	1000
MAR08729	0	1.75844
MAR06537	-304.46	304.46
MAR01568	0	2.45541
MAR03853	0	219.924
MAR03854	0	9.76306
MAR03855	0	9.76306
MAR03857	0	218.432
MAR03859	0	60.3097
MAR04087	0	0.220555
MAR04089	0	19.0199
MAR04091	0	0.220555
MAR04093	0	22.9395
MAR04095	0	22.9395
MAR04101	0	368.569
MAR04103	0	0.876579
MAR04143	0	82.3428
MAR04193	0	65.6261
MAR08497	0	304.46
MAR08498	0	2293.78
MAR08499	0	2293.78
MAR08500	0	304.46
MAR08501	0	258.031
MAR08502	-763.492	763.492
MAR08503	0	148.765
MAR08504	0	657.398
MAR08506	0	657.398
MAR08507	0	763.492
MAR08508	0	763.492
MAR08509	0	304.46
MAR08511	0	218.432
MAR08512	-60.3097	60.3097
MAR08514	0	60.3097
MAR08516	0	15.5983
MAR08517	0	1000
MAR04280	-2.49205	2.49205
MAR00153	0	33.7031
MAR03212	0	124.626
MAR03797	0	33.7031
MAR03800	0	15.8384
MAR04105	0	29.7823
MAR04106	0	29.7823
MAR04107	0	29.7823
MAR04282	0	85.1565
MAR04331	-33.7031	33.7031
MAR04459	0	33.7031
MAR04460	0	33.7031
MAR04464	0	1000
MAR04497	0	208.413
MAR04741	0	24.0026
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-459.983	459.983
MAR00718	0	13.8731
MAR00719	0	6.154
MAR01434	-137.22	137.22
MAR01436	0	15.9776
MAR03163	0	124.626
MAR04461	-89.7817	89.7817
MAR04604	0	84.859
MAR05351	-2.49205	2.49205
MAR07709	-132.471	132.471
MAR04052	0	6.48092
MAR04304	0	0.613049
MAR04350	-12.7371	12.7371
MAR04351	-2.07407	2.07407
MAR04352	-2.07407	2.07407
MAR04354	-54.8986	54.8986
MAR04398	-40.769	40.769
MAR04404	-27.3001	27.3001
MAR04473	0	11.7237
MAR04474	0	11.7237
MAR04476	-21.5574	21.5574
MAR04477	-5.01039	5.01039
MAR04501	-27.3001	27.3001
MAR04565	-89.0568	89.0568
MAR04567	0	8.13342
MAR09799	-14.5613	14.5613
MAR09800	-322.332	322.332
MAR04623	0	83.6642
MAR04625	0	49.4783
MAR04710	-54.8986	54.8986
MAR04841	-2.45541	2.45541
MAR08074	0	12.7371
MAR08653	-83.6642	83.6642
MAR03998	0	41.3767
MAR04000	0	15.7475
MAR04002	-103.873	103.873
MAR04004	-103.873	103.873
MAR04010	0	37.1156
MAR04081	0	37.1156
MAR04082	0	37.1156
MAR04012	0	234.092
MAR04014	0	6.04841
MAR04020	-28.2166	28.2166
MAR04022	0	15.7475
MAR04038	-6.09135	6.09135
MAR04040	0	16.9113
MAR04042	0	13.7124
MAR04046	0	3.41
MAR04048	0	6.04841
MAR04080	0	4.13839
MAR04085	0	91.969
MAR04086	0	91.969
MAR04134	0	41.3767
MAR04135	-28.2166	28.2166
MAR04168	0	13.0607
MAR04171	0	65.6261
MAR04290	0	23.5259
MAR04406	0	2.31285
MAR04412	-8.02798	8.02798
MAR04417	0	37.1156
MAR04418	0	42.0145
MAR04419	0	7.90041
MAR04421	0	65.6261
MAR04449	0	37.1156
MAR04450	0	37.1156
MAR04451	0	1000
MAR04452	0	42.0145
MAR04453	0	3.41
MAR04480	-135.769	135.769
MAR04481	0	0.642348
MAR04482	0	0.642348
MAR04486	0	0.538455
MAR04487	0	0.538455
MAR04488	0	0.538455
MAR04489	0	0.538455
MAR04492	0	0.538455
MAR04493	0	0.538455
MAR04495	0	0.538455
MAR04496	0	0.538455
MAR04518	0	2.13179
MAR04519	0	14.1716
MAR04520	0	14.1716
MAR04573	0	65.6261
MAR04574	-28.9048	28.9048
MAR04600	0	9.75038
MAR04602	0	37.1156
MAR04603	-28.9048	28.9048
MAR04611	0	0.493441
MAR04612	0	0.493441
MAR04614	0	0.493441
MAR04615	0	0.493441
MAR04617	0	0.493441
MAR04618	0	0.493441
MAR04619	0	0.493441
MAR04621	0	0.493441
MAR04632	0	37.1156
MAR04646	0	14.1716
MAR04648	0	14.1716
MAR04649	0	14.1716
MAR04650	0	14.1716
MAR04651	-28.9048	28.9048
MAR04663	-28.9048	28.9048
MAR04664	0	42.0145
MAR04694	0	0.642348
MAR04695	-28.9048	28.9048
MAR04705	0	37.1156
MAR04709	-28.9048	28.9048
MAR04799	0	5.21678
MAR04802	0	5.21678
MAR04804	-59.1514	59.1514
MAR04808	0	1.87023
MAR04810	0	59.1514
MAR04812	-8.02798	8.02798
MAR04814	-6.09135	6.09135
MAR05301	0	11.4824
MAR05353	-28.2166	28.2166
MAR06601	0	0.01
MAR06602	-187.892	187.892
MAR06603	-187.892	187.892
MAR06605	-1000	1000
MAR06606	-1000	1000
MAR06607	-1000	1000
MAR06609	-1000	1000
MAR06610	0	1000
MAR06611	-1000	1000
MAR07144	0	19.8482
MAR08755	0	14.1716
MAR09797	0	1000
MAR04016	-380.898	380.898
MAR04018	-380.898	380.898
MAR04044	-380.898	380.898
MAR04291	-380.898	380.898
MAR04420	0	380.898
MAR04570	-380.898	380.898
MAR04572	0	380.898
MAR04006	-380.898	380.898
MAR04028	-380.898	380.898
MAR04030	-380.898	380.898
MAR04670	-380.898	380.898
MAR04673	-380.898	380.898
MAR04675	0	380.898
MAR06614	-380.898	380.898
MAR06615	-380.898	380.898
MAR06616	-380.898	380.898
MAR04635	-380.898	380.898
MAR03793	-46.4492	46.4492
MAR03931	0	36.3135
MAR03969	0	11.4824
MAR03970	0	37.1156
MAR04008	-22.8081	22.8081
MAR04032	0	2.64139
MAR04034	0	0.862695
MAR04036	0	9.01949
MAR04050	-0.862695	0.862695
MAR04056	0	37.1156
MAR04059	0	41.3767
MAR04060	0	41.3767
MAR04127	0	26.6449
MAR04177	0	37.1156
MAR04179	0	37.1156
MAR04182	0	16.5143
MAR04183	0	23.5259
MAR04192	0	23.5259
MAR04194	0	2.64139
MAR04210	0	65.6261
MAR04211	0	13.0607
MAR04343	0	0.117478
MAR04345	-31.69	31.69
MAR04346	0	48.0398
MAR04470	0	31.69
MAR04471	0	31.69
MAR04472	0	31.69
MAR04484	0	37.1156
MAR04485	-21.271	21.271
MAR04510	0	37.1156
MAR04512	-22.8081	22.8081
MAR04513	0	1.67201
MAR04514	0	16.0126
MAR04577	0	9.01949
MAR04579	-80.6908	80.6908
MAR04580	0	16.0126
MAR04608	-0.862695	0.862695
MAR04575	-4.98256	4.98256
MAR04637	-15.6652	15.6652
MAR04642	0	37.1156
MAR04643	0	13.0607
MAR04644	-1.3709	1.3709
MAR04672	0	1000
MAR04676	0	11.4824
MAR04736	0	48.0398
MAR04819	0	63.6615
MAR05299	0	11.4824
MAR05352	0	11.4824
MAR05415	0	0.493441
MAR05416	0	0.493441
MAR05417	0	36.3135
MAR06612	-15.6652	15.6652
MAR06613	-15.6652	15.6652
MAR06621	-0.493441	0.493441
MAR06622	0	0.493441
MAR06623	0	17.6776
MAR06624	0	9.14314
MAR06627	-65.6261	65.6261
MAR07744	-3.86805	3.86805
MAR08072	0	1000
MAR08637	0	1000
MAR03965	0	3.96997
MAR03966	0	13.0607
MAR03967	-22.8081	22.8081
MAR03968	-15.6652	15.6652
MAR03999	0	23.5259
MAR04024	-22.8081	22.8081
MAR04026	-3.05003	3.05003
MAR04054	0	17.6776
MAR04061	0	23.5259
MAR04083	0	234.092
MAR04136	0	3197.35
MAR04180	0	11.4824
MAR04185	0	11.4739
MAR04186	0	11.4739
MAR04342	0	41.3767
MAR04344	-1000	1000
MAR04483	0	9.14314
MAR04507	0	0.01
MAR04516	0	88.9323
MAR04601	0	9.75038
MAR04633	0	0.642348
MAR04640	0	15.6652
