rxn	LB	UB
MAR03905	0	1820.76
MAR03907	0	238.429
MAR04097	0	108.774
MAR04099	0	7.70372
MAR04108	0	108.774
MAR04133	0	108.774
MAR04281	-361.317	361.317
MAR04388	-361.317	361.317
MAR04283	0	2.0478
MAR08357	0	873.254
MAR04379	0	17.1416
MAR04301	0	17.1416
MAR04355	0	1934
MAR04358	0	139.766
MAR04363	-274.939	274.939
MAR04365	-50.8298	50.8298
MAR04368	-160.354	160.354
MAR04370	0	6.42163
MAR04371	0	50.8298
MAR04372	0	6.42163
MAR04373	-549.947	549.947
MAR04375	-1934	1934
MAR04377	0	784.78
MAR04381	-76.8638	76.8638
MAR04391	-253.184	253.184
MAR04394	0	111.078
MAR04396	-113.028	113.028
MAR04521	0	41.962
MAR06412	0	6.11185
MAR07745	-62.0022	62.0022
MAR07747	0	4.68269
MAR08360	0	1111.54
MAR08652	0	41.962
MAR08757	0	3711.47
MAR03989	0	33.4226
MAR04122	0	41.1924
MAR04837	0	14.6451
MAR05395	0	2.93871
MAR05396	0	88.1508
MAR09727	0	88.1508
MAR05397	0	51.09
MAR05398	0	128.11
MAR05399	0	11.3333
MAR05400	0	11.3333
MAR05401	0	128.11
MAR08568	0	155.859
MAR08569	0	155.859
MAR08570	0	155.859
MAR08571	0	155.859
MAR08572	0	155.859
MAR08573	0	155.859
MAR08574	0	155.859
MAR08575	0	155.859
MAR08576	0	155.859
MAR08577	0	155.859
MAR08578	0	155.859
MAR08579	0	155.859
MAR08581	0	155.859
MAR08591	0	21.4705
MAR08592	0	33.4226
MAR08580	0	155.859
MAR08582	0	155.859
MAR08587	0	21.4705
MAR08589	0	33.4226
MAR08583	0	21.4705
MAR08584	0	0.01
MAR08585	0	1.21753
MAR03944	0	162.954
MAR04128	-7.48172	7.48172
MAR04130	0	38.523
MAR04131	-26.5885	26.5885
MAR04132	0	26.5885
MAR04303	0	33.4226
MAR04414	0	38.523
MAR04415	0	0.01
MAR04416	0	136.081
MAR04774	-17.1416	17.1416
MAR04775	-17.1416	17.1416
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	14.956
MAR08761	0	232.145
MAR08762	-1934	1934
MAR08764	0	0.01
MAR08766	-6.15538	6.15538
MAR08767	0	26.5885
MAR00454	0	1000
MAR04297	0	12.8638
MAR04310	0	232.145
MAR04315	-729.613	729.613
MAR04316	-6.15538	6.15538
MAR04317	0	45.5984
MAR04318	0	45.5984
MAR04319	0	2.71706
MAR04320	0	45.5984
MAR04356	0	1934
MAR04383	-4.00846	4.00846
MAR04385	0	24.5832
MAR04386	0	19.1828
MAR04387	0	7.21503
MAR04399	0	0.417503
MAR04400	0	16.7037
MAR04401	0	3.88539
MAR04402	-2.88569	2.88569
MAR04403	0	1000
MAR04490	0	2.71706
MAR04706	0	12.8638
MAR08768	0	16.7037
MAR04590	0	106.435
MAR04591	0	178.483
MAR04592	-6.15538	6.15538
MAR04593	0	729.613
MAR04594	0	67.8591
MAR04595	-55.7683	55.7683
MAR08341	0	238.429
MAR08342	-1000	1000
MAR08344	-238.429	238.429
MAR08352	-13.8774	13.8774
MAR08353	-1000	1000
MAR08726	0	10.4753
MAR08727	0	16.1682
MAR08728	0	1000
MAR08729	0	2.94734
MAR06537	-238.429	238.429
MAR01568	0	2.0478
MAR03853	0	348.869
MAR03854	0	6.15538
MAR03855	0	6.15538
MAR03857	0	178.889
MAR03859	0	48.7825
MAR04087	0	2.4225
MAR04089	0	82.6645
MAR04091	0	2.4225
MAR04093	0	45.7642
MAR04095	0	45.7642
MAR04101	0	789.15
MAR04103	0	1.00157
MAR04143	0	165.875
MAR04193	0	139.766
MAR08497	0	238.429
MAR08498	0	3711.47
MAR08499	0	3711.47
