rxn	LB	UB
MAR03905	0	1406.35
MAR03907	0	240.815
MAR04097	0	83.6603
MAR04099	0	2.15327
MAR04108	0	83.6603
MAR04133	0	83.6603
MAR04281	-585.524	585.524
MAR04388	-585.524	585.524
MAR04283	0	3.19405
MAR08357	0	1323.69
MAR04379	0	19.9471
MAR04301	0	19.9471
MAR04355	0	1612.26
MAR04358	0	101.467
MAR04363	-229.222	229.222
MAR04365	-48.6847	48.6847
MAR04368	-125.83	125.83
MAR04370	0	2.21409
MAR04371	0	48.6847
MAR04372	0	2.21409
MAR04373	-846.254	846.254
MAR04375	-1612.26	1612.26
MAR04377	0	698.783
MAR04381	-113.305	113.305
MAR04391	-267.164	267.164
MAR04394	0	21.0529
MAR04396	-113.669	113.669
MAR04521	0	42.8871
MAR06412	0	5.34299
MAR07745	-46.2987	46.2987
MAR07747	0	4.94827
MAR08360	0	1025.86
MAR08652	0	42.8871
MAR08757	0	2976.25
MAR03989	0	47.1692
MAR04122	0	36.9419
MAR04837	0	19.5303
MAR05395	0	0.797291
MAR05396	0	53.71
MAR09727	0	53.71
MAR05397	0	30.934
MAR05398	0	113.119
MAR05399	0	7.16412
MAR05400	0	7.16412
MAR05401	0	113.119
MAR08568	0	95.0279
MAR08569	0	95.0279
MAR08570	0	95.0279
MAR08571	0	95.0279
MAR08572	0	95.0279
MAR08573	0	95.0279
MAR08574	0	95.0279
MAR08575	0	95.0279
MAR08576	0	95.0279
MAR08577	0	95.0279
MAR08578	0	95.0279
MAR08579	0	95.0279
MAR08581	0	95.0279
MAR08591	0	15.6512
MAR08592	0	47.1692
MAR08580	0	95.0279
MAR08582	0	95.0279
MAR08587	0	15.6512
MAR08589	0	47.1692
MAR08583	0	15.6512
MAR08584	0	0.01
MAR08585	0	0.366932
MAR03944	0	85.7548
MAR04128	-5.82436	5.82436
MAR04130	0	56.7495
MAR04131	-51.7211	51.7211
MAR04132	0	51.7211
MAR04303	0	47.1692
MAR04414	0	56.7495
MAR04415	0	0.01
MAR04416	0	133.248
MAR04774	-19.9471	19.9471
MAR04775	-19.9471	19.9471
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	14.2405
MAR08761	0	317.727
MAR08762	-1612.26	1612.26
MAR08764	0	0.01
MAR08766	-7.77601	7.77601
MAR08767	0	51.7211
MAR00454	0	1000
MAR04297	0	5.67697
MAR04310	0	317.727
MAR04315	-302.123	302.123
MAR04316	-7.77601	7.77601
MAR04317	0	28.3046
MAR04318	0	28.3046
MAR04319	0	4.04955
MAR04320	0	28.3046
MAR04356	0	1612.26
MAR04383	-5.04807	5.04807
MAR04385	0	21.2647
MAR04386	0	15.0639
MAR04387	0	11.922
MAR04399	0	0.213615
MAR04400	0	25.2219
MAR04401	0	2.24726
MAR04402	-3.4641	3.4641
MAR04403	0	1000
MAR04490	0	4.04955
MAR04706	0	5.67697
MAR08768	0	25.2219
MAR04590	0	230.517
MAR04591	0	141.338
MAR04592	-7.77601	7.77601
MAR04593	0	302.123
MAR04594	0	50.2589
MAR04595	-48.6159	48.6159
MAR08341	0	240.815
MAR08342	-1000	1000
MAR08344	-240.815	240.815
MAR08352	-18.1023	18.1023
MAR08353	-1000	1000
MAR08726	0	9.31445
MAR08727	0	17.1094
MAR08728	0	1000
MAR08729	0	1.63371
MAR06537	-240.815	240.815
MAR01568	0	3.19405
MAR03853	0	124.315
MAR03854	0	7.77601
MAR03855	0	7.77601
MAR03857	0	188.985
MAR03859	0	87.4473
MAR04087	0	1.02496
MAR04089	0	26.0059
MAR04091	0	1.02496
MAR04093	0	33.2662
MAR04095	0	33.2662
MAR04101	0	842.804
MAR04103	0	1.58665
MAR04143	0	172.857
MAR04193	0	101.467
MAR08497	0	240.815
MAR08498	0	2976.25
MAR08499	0	2976.25
MAR08500	0	240.815
MAR08501	0	236.825
MAR08502	-1406.35	1406.35
MAR08503	0	197.159
MAR08504	0	1323.69
MAR08506	0	1323.69
MAR08507	0	1406.35
MAR08508	0	1406.35
MAR08509	0	240.815
MAR08511	0	188.985
MAR08512	-87.4473	87.4473
MAR08514	0	87.4473
MAR08516	0	13.1058
MAR08517	0	1000
MAR04280	-3.85813	3.85813
MAR00153	0	83.6603
MAR03212	0	169.633
MAR03797	0	83.6603
MAR03800	0	22.002
MAR04105	0	30.2267
MAR04106	0	30.2267
MAR04107	0	30.2267
MAR04282	0	133.901
MAR04331	-83.6603	83.6603
MAR04459	0	83.6603
MAR04460	0	83.6603
MAR04464	0	1000
MAR04497	0	317.635
MAR04741	0	28.1902
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-346.474	346.474
MAR00718	0	13.0319
MAR00719	0	0.01
MAR01434	-157.125	157.125
MAR01436	0	29.0795
MAR03163	0	169.633
MAR04461	-168.311	168.311
MAR04604	0	92.6202
MAR05351	-3.85813	3.85813
MAR07709	-101.704	101.704
MAR04052	0	15.1858
MAR04304	0	3.5233
MAR04350	-9.31445	9.31445
MAR04351	-2.16281	2.16281
MAR04352	-2.16281	2.16281
MAR04354	-113.669	113.669
MAR04398	-38.2399	38.2399
MAR04404	-46.8262	46.8262
MAR04473	0	18.9688
MAR04474	0	18.9688
MAR04476	-18.8328	18.8328
MAR04477	-7.1826	7.1826
MAR04501	-46.8262	46.8262
MAR04565	-78.3822	78.3822
MAR04567	0	19.9471
MAR09799	-27.2603	27.2603
MAR09800	-317.727	317.727
MAR04623	0	107.758
MAR04625	0	58.4199
MAR04710	-113.669	113.669
MAR04841	-3.19405	3.19405
MAR08074	0	9.31445
MAR08653	-107.758	107.758
MAR03998	0	42.809
MAR04000	0	26.8431
MAR04002	-129.744	129.744
MAR04004	-129.744	129.744
MAR04010	0	22.0677
MAR04081	0	22.0677
MAR04082	0	22.0677
MAR04012	0	239.811
MAR04014	0	10.7747
MAR04020	-38.8414	38.8414
MAR04022	0	26.8431
MAR04038	-7.96044	7.96044
MAR04040	0	21.6696
MAR04042	0	34.2213
MAR04046	0	3.90212
MAR04048	0	10.7747
MAR04080	0	11.8973
MAR04085	0	48.9957
MAR04086	0	48.9957
MAR04134	0	42.809
MAR04135	-38.8414	38.8414
MAR04168	0	6.98086
MAR04171	0	101.467
MAR04290	0	42.809
MAR04406	0	4.24313
MAR04412	-7.93172	7.93172
MAR04417	0	22.0677
MAR04418	0	17.286
MAR04419	0	6.05925
MAR04421	0	101.467
MAR04449	0	22.0677
MAR04450	0	22.0677
MAR04451	0	1000
MAR04452	0	17.286
MAR04453	0	3.90212
MAR04480	-194.481	194.481
MAR04481	0	2.13008
MAR04482	0	2.13008
MAR04486	0	4.04955
MAR04487	0	4.04955
MAR04488	0	4.04955
MAR04489	0	4.04955
MAR04492	0	4.04955
MAR04493	0	4.04955
MAR04495	0	4.04955
MAR04496	0	4.04955
MAR04518	0	2.65687
MAR04519	0	22.018
MAR04520	0	22.018
MAR04573	0	101.467
MAR04574	-44.7178	44.7178
MAR04600	0	8.34375
MAR04602	0	22.0677
MAR04603	-44.7178	44.7178
MAR04611	0	0.316855
MAR04612	0	0.316855
MAR04614	0	0.316855
MAR04615	0	0.316855
MAR04617	0	0.316855
MAR04618	0	0.316855
MAR04619	0	0.316855
MAR04621	0	0.316855
MAR04632	0	22.0677
MAR04646	0	22.018
MAR04648	0	22.018
MAR04649	0	22.018
MAR04650	0	22.018
MAR04651	-44.7178	44.7178
MAR04663	-44.7178	44.7178
MAR04664	0	17.286
MAR04694	0	2.13008
MAR04695	-44.7178	44.7178
