rxn	LB	UB
MAR03905	0	515.294
MAR03907	0	191.531
MAR04097	0	23.3727
MAR04099	0	6.52261
MAR04108	0	23.3727
MAR04133	0	23.3727
MAR04281	-1045.29	1045.29
MAR04388	-1045.29	1045.29
MAR04283	0	1.87701
MAR08357	0	1012.72
MAR04379	0	12.7361
MAR04301	0	12.7361
MAR04355	0	2023.14
MAR04358	0	46.7773
MAR04363	-152.497	152.497
MAR04365	-58.4085	58.4085
MAR04368	-115.15	115.15
MAR04370	0	2.67802
MAR04371	0	58.4085
MAR04372	0	2.67802
MAR04373	-748.588	748.588
MAR04375	-2023.14	2023.14
MAR04377	0	713.141
MAR04381	-94.8556	94.8556
MAR04391	-278.003	278.003
MAR04394	0	22.4199
MAR04396	-120.601	120.601
MAR04521	0	161.345
MAR06412	0	3.61355
MAR07745	-30.7162	30.7162
MAR07747	0	6.12478
MAR08360	0	784.562
MAR08652	0	161.345
MAR08757	0	3828.93
MAR03989	0	48.4685
MAR04122	0	23.6049
MAR04837	0	14.64
MAR05395	0	1.56204
MAR05396	0	60.8035
MAR09727	0	60.8035
MAR05397	0	14.4916
MAR05398	0	68.9663
MAR05399	0	5.23254
MAR05400	0	5.23254
MAR05401	0	68.9663
MAR08568	0	111.018
MAR08569	0	111.018
MAR08570	0	111.018
MAR08571	0	111.018
MAR08572	0	111.018
MAR08573	0	111.018
MAR08574	0	111.018
MAR08575	0	111.018
MAR08576	0	111.018
MAR08577	0	111.018
MAR08578	0	111.018
MAR08579	0	111.018
MAR08581	0	111.018
MAR08591	0	11.7986
MAR08592	0	48.4685
MAR08580	0	111.018
MAR08582	0	111.018
MAR08587	0	11.7986
MAR08589	0	48.4685
MAR08583	0	11.7986
MAR08584	0	0.01
MAR08585	0	0.261991
MAR03944	0	55.2958
MAR04128	-3.56154	3.56154
MAR04130	0	57.8345
MAR04131	-28.8996	28.8996
MAR04132	0	28.8996
MAR04303	0	48.4685
MAR04414	0	57.8345
MAR04415	0	0.01
MAR04416	0	164.642
MAR04774	-12.7361	12.7361
MAR04775	-12.7361	12.7361
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	9.7868
MAR08761	0	167.601
MAR08762	-2023.14	2023.14
MAR08764	0	0.01
MAR08766	-5.58185	5.58185
MAR08767	0	28.8996
MAR00454	0	1000
MAR04297	0	3.49623
MAR04310	0	167.601
MAR04315	-446.282	446.282
MAR04316	-5.58185	5.58185
MAR04317	0	18.5571
MAR04318	0	18.5571
MAR04319	0	2.09735
MAR04320	0	18.5571
MAR04356	0	2023.14
MAR04383	-4.74306	4.74306
MAR04385	0	26.5505
MAR04386	0	13.1473
MAR04387	0	7.84697
MAR04399	0	0.01
MAR04400	0	17.4489
MAR04401	0	3.30214
MAR04402	-3.02663	3.02663
MAR04403	0	1000
MAR04490	0	2.09735
MAR04706	0	3.49623
MAR08768	0	17.4489
MAR04590	0	155.901
MAR04591	0	97.2675
MAR04592	-5.58185	5.58185
MAR04593	0	446.282
MAR04594	0	41.8552
MAR04595	-45.7683	45.7683
MAR08341	0	191.531
MAR08342	-1000	1000
MAR08344	-191.531	191.531
MAR08352	-10.4833	10.4833
MAR08353	-1000	1000
MAR08726	0	12.8317
MAR08727	0	12.4436
MAR08728	0	1000
MAR08729	0	1.5999
MAR06537	-191.531	191.531
MAR01568	0	1.87701
MAR03853	0	280.859
MAR03854	0	5.58185
MAR03855	0	5.58185
MAR03857	0	137.82
MAR03859	0	50.931
MAR04087	0	1.43287
MAR04089	0	33.6379
MAR04091	0	1.43287
MAR04093	0	57.8754
MAR04095	0	57.8754
MAR04101	0	664.854
MAR04103	0	0.828377
MAR04143	0	249.035
MAR04193	0	46.7773
MAR08497	0	191.531
MAR08498	0	3828.93
MAR08499	0	3828.93
MAR08500	0	191.531
MAR08501	0	205.638
MAR08502	-515.294	515.294
MAR08503	0	190.467
MAR08504	0	1012.72
MAR08506	0	1012.72
MAR08507	0	515.294
MAR08508	0	515.294
MAR08509	0	191.531
MAR08511	0	137.82
MAR08512	-50.931	50.931
MAR08514	0	50.931
MAR08516	0	12.043
MAR08517	0	1000
MAR04280	-1.07996	1.07996
MAR00153	0	23.3727
MAR03212	0	337.033
MAR03797	0	23.3727
MAR03800	0	22.8155
MAR04105	0	30.1062
MAR04106	0	30.1062
MAR04107	0	30.1062
MAR04282	0	132.332
MAR04331	-23.3727	23.3727
MAR04459	0	23.3727
MAR04460	0	23.3727
MAR04464	0	1000
MAR04497	0	201.385
MAR04741	0	26.4056
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-243.009	243.009
MAR00718	0	9.80251
MAR00719	0	0.01
MAR01434	-127.469	127.469
MAR01436	0	2.7165
MAR03163	0	337.033
MAR04461	-209.665	209.665
MAR04604	0	42.1235
MAR05351	-1.07996	1.07996
MAR07709	-97.0772	97.0772
MAR04052	0	10.2075
MAR04304	0	1.59264
MAR04350	-12.8317	12.8317
MAR04351	-2.69326	2.69326
MAR04352	-2.69326	2.69326
MAR04354	-120.601	120.601
MAR04398	-29.0881	29.0881
MAR04404	-28.0418	28.0418
MAR04473	0	11.2663
MAR04474	0	11.2663
MAR04476	-8.98103	8.98103
MAR04477	-5.46846	5.46846
MAR04501	-28.0418	28.0418
MAR04565	-60.1216	60.1216
MAR04567	0	12.7361
MAR09799	-20.2985	20.2985
MAR09800	-167.601	167.601
MAR04623	0	96.9207
MAR04625	0	34.3872
MAR04710	-120.601	120.601
MAR04841	-1.87701	1.87701
MAR08074	0	12.8317
MAR08653	-96.9207	96.9207
MAR03998	0	64.968
MAR04000	0	30.3699
MAR04002	-142.252	142.252
MAR04004	-142.252	142.252
MAR04010	0	18.0605
MAR04081	0	18.0605
MAR04082	0	18.0605
MAR04012	0	194.626
MAR04014	0	12.9571
MAR04020	-21.7089	21.7089
MAR04022	0	30.3699
MAR04038	-9.2756	9.2756
MAR04040	0	18.9399
MAR04042	0	12.9731
MAR04046	0	4.60101
MAR04048	0	12.9571
MAR04080	0	8.36787
MAR04085	0	47.5528
MAR04086	0	47.5528
MAR04134	0	64.968
MAR04135	-21.7089	21.7089
MAR04168	0	13.1621
MAR04171	0	46.7773
MAR04290	0	38.9439
MAR04406	0	3.35945
MAR04412	-6.1302	6.1302
MAR04417	0	18.0605
MAR04418	0	22.3898
MAR04419	0	5.92937
MAR04421	0	46.7773
MAR04449	0	18.0605
MAR04450	0	18.0605
MAR04451	0	1000
MAR04452	0	22.3898
MAR04453	0	4.60101
MAR04480	-337.033	337.033
MAR04481	0	2.08502
MAR04482	0	2.08502
MAR04486	0	2.09735
MAR04487	0	2.09735
MAR04488	0	2.09735
MAR04489	0	2.09735
MAR04492	0	2.09735
MAR04493	0	2.09735
MAR04495	0	2.09735
MAR04496	0	2.09735
MAR04518	0	3.55962
MAR04519	0	21.405
MAR04520	0	21.405
MAR04573	0	46.7773
MAR04574	-45.3719	45.3719
MAR04600	0	9.00994
MAR04602	0	18.0605
MAR04603	-45.3719	45.3719
MAR04611	0	0.481144
MAR04612	0	0.481144
MAR04614	0	0.481144
MAR04615	0	0.481144
MAR04617	0	0.481144
MAR04618	0	0.481144
MAR04619	0	0.481144
MAR04621	0	0.481144
MAR04632	0	18.0605
MAR04646	0	21.405
MAR04648	0	21.405
MAR04649	0	21.405
MAR04650	0	21.405
MAR04651	-45.3719	45.3719
MAR04663	-45.3719	45.3719
MAR04664	0	22.3898
MAR04694	0	2.08502
MAR04695	-45.3719	45.3719
MAR04705	0	18.0605
MAR04709	-45.3719	45.3719
MAR04799	0	8.99197
MAR04802	0	8.99197
MAR04804	-48.7853	48.7853
MAR04808	0	6.18446
MAR04810	0	48.7853
MAR04812	-6.1302	6.1302
MAR04814	-9.2756	9.2756
MAR05301	0	24.4027
MAR05353	-21.7089	21.7089
MAR06601	0	0.01
MAR06602	-237.526	237.526
MAR06603	-237.526	237.526
MAR06605	-1000	1000
MAR06606	-1000	1000
MAR06607	-1000	1000
MAR06609	-1000	1000
MAR06610	0	1000
MAR06611	-1000	1000
MAR07144	0	32.4098
MAR08755	0	21.405
MAR09797	0	1000
MAR04016	-139.685	139.685
MAR04018	-139.685	139.685
MAR04044	-139.685	139.685
MAR04291	-139.685	139.685
MAR04420	0	139.685
MAR04570	-139.685	139.685
MAR04572	0	139.685
MAR04006	-139.685	139.685
MAR04028	-139.685	139.685
MAR04030	-139.685	139.685
MAR04670	-139.685	139.685
MAR04673	-139.685	139.685
MAR04675	0	139.685
MAR06614	-139.685	139.685
MAR06615	-139.685	139.685
MAR06616	-139.685	139.685
MAR04635	-139.685	139.685
MAR03793	-27.7873	27.7873
MAR03931	0	43.0606
MAR03969	0	24.4027
MAR03970	0	18.0605
MAR04008	-15.869	15.869
MAR04032	0	3.0304
MAR04034	0	1.58403
MAR04036	0	9.69799
MAR04050	-1.58403	1.58403
MAR04056	0	18.0605
MAR04059	0	64.968
MAR04060	0	64.968
MAR04127	0	9.76507
MAR04177	0	18.0605
MAR04179	0	18.0605
MAR04182	0	18.5571
MAR04183	0	38.9439
MAR04192	0	38.9439
MAR04194	0	3.0304
MAR04210	0	46.7773
MAR04211	0	13.1621
MAR04343	0	0.764139
MAR04345	-99.1681	99.1681
MAR04346	0	119.067
MAR04470	0	99.1681
MAR04471	0	99.1681
MAR04472	0	99.1681
MAR04484	0	18.0605
MAR04485	-53.2123	53.2123
MAR04510	0	18.0605
MAR04512	-15.869	15.869
MAR04513	0	1.8292
MAR04514	0	14.5534
MAR04577	0	9.69799
MAR04579	-15.0854	15.0854
MAR04580	0	14.5534
MAR04608	-1.58403	1.58403
MAR04575	-4.90939	4.90939
MAR04637	-7.43735	7.43735
MAR04642	0	17.4503
MAR04643	0	13.1621
MAR04644	-0.889621	0.889621
MAR04672	0	1000
MAR04676	0	24.4027
MAR04736	0	119.067
MAR04819	0	74.3588
MAR05299	0	24.4027
MAR05352	0	24.4027
MAR05415	0	0.481144
MAR05416	0	0.481144
MAR05417	0	43.0606
MAR06612	-7.43735	7.43735
MAR06613	-7.43735	7.43735
MAR06621	-0.481144	0.481144
MAR06622	0	0.481144
MAR06623	0	4.39822
MAR06624	0	11.1392
MAR06627	-46.7773	46.7773
MAR07744	-2.1262	2.1262
MAR08072	0	1000
MAR08637	0	1000
MAR03965	0	2.01229
MAR03966	0	13.1621
MAR03967	-15.869	15.869
MAR03968	-7.43735	7.43735
MAR03999	0	38.9439
MAR04024	-15.869	15.869
MAR04026	-5.3924	5.3924
MAR04054	0	4.39822
MAR04061	0	38.9439
MAR04083	0	194.626
MAR04136	0	2212.47
MAR04180	0	24.4027
MAR04185	0	36.2016
MAR04186	0	36.2016
MAR04342	0	64.968
MAR04344	-1000	1000
MAR04483	0	11.1392
MAR04507	0	0.01
MAR04516	0	30.1926
MAR04601	0	9.00994
MAR04633	0	2.08502
MAR04640	0	7.43735
MAR04641	0	4.39822
MAR04680	-15.0854	15.0854
MAR04806	0	8.99197
MAR05394	0	1000
MAR06625	0	11.1392
MAR06626	0	17.4503
MAR07160	0	9.52114
MAR07161	0	1.57854
MAR07162	0	1.57854
MAR07163	0	7.69044
MAR07164	0	7.69044
MAR07713	0	18.0605
MAR07716	0	18.0605
MAR07717	0	18.0605
MAR07721	0	18.0605
MAR07725	0	18.0605
MAR07728	0	18.0605
MAR07800	-0.01	0.01
MAR07801	-86.17	86.17
MAR07802	-0.01	0.01
MAR07863	-15.869	15.869
MAR07864	-15.869	15.869
MAR07865	-15.869	15.869
MAR07866	-15.869	15.869
MAR07867	-15.869	15.869
MAR07868	-15.869	15.869
MAR07869	-15.869	15.869
MAR07870	-15.869	15.869
MAR07871	-15.869	15.869
MAR07872	-15.869	15.869
MAR07873	-15.869	15.869
MAR07874	-15.869	15.869
MAR07875	-5.3924	5.3924
MAR07876	-15.869	15.869
MAR07878	-139.685	139.685
MAR07879	0	13.1621
MAR07880	0	17.4503
MAR07881	-139.685	139.685
MAR07882	-139.685	139.685
MAR07883	-139.685	139.685
MAR07884	-139.685	139.685
MAR07885	-139.685	139.685
MAR07886	-139.685	139.685
MAR07887	-139.685	139.685
MAR07888	-139.685	139.685
MAR07889	-139.685	139.685
MAR07890	-139.685	139.685
MAR07891	-139.685	139.685
MAR07892	-139.685	139.685
MAR07893	-139.685	139.685
MAR07894	-139.685	139.685
MAR07895	-139.685	139.685
MAR08083	0	12.9571
MAR08085	0	12.9571
MAR08087	0	12.9571
MAR08443	0	32.4098
MAR08444	0	32.4098
MAR08445	0	24.4027
MAR08446	0	0.01
MAR08448	-15.869	15.869
MAR08449	-15.869	15.869
MAR08450	-15.869	15.869
MAR08451	-15.869	15.869
MAR08452	-15.869	15.869
MAR08453	-15.869	15.869
MAR08454	-15.869	15.869
MAR08455	-15.869	15.869
MAR08456	-15.869	15.869
MAR08457	-15.869	15.869
MAR08458	-15.869	15.869
MAR08459	-15.869	15.869
MAR08460	-15.869	15.869
MAR08461	-0.01	0.01
MAR08462	-15.869	15.869
MAR08463	-15.869	15.869
MAR08464	-15.869	15.869
MAR08465	-15.869	15.869
MAR08466	-15.869	15.869
MAR08467	-15.869	15.869
MAR08468	-15.869	15.869
MAR08469	-15.869	15.869
MAR08470	-15.869	15.869
MAR08471	-15.869	15.869
MAR08472	-15.869	15.869
MAR08473	0	2.08502
MAR08474	0	64.968
MAR08477	-1.8292	1.8292
MAR08478	-1.8292	1.8292
MAR08479	-1.8292	1.8292
MAR08480	0	0.01
MAR08481	-1000	1000
MAR08482	0	19.1013
MAR08483	0	2.01229
MAR08484	0	1000
MAR08485	0	15.0906
MAR08486	-45.3719	45.3719
MAR08487	0	18.0605
MAR08488	0	13.1621
MAR08489	0	13.1621
MAR08493	0	14.8146
MAR08494	0	14.8146
MAR08495	0	14.8146
MAR03802	-273.945	273.945
MAR03804	-273.945	273.945
MAR03811	0	1463.39
MAR03813	-387.961	387.961
MAR03822	0	155.38
MAR03827	-245.593	245.593
MAR03829	-269.034	269.034
MAR03862	0	63.2505
MAR03865	0	245.593
MAR03870	0	29.7629
MAR03873	0	454.101
MAR08654	0	454.101
MAR03890	0	570.28
MAR03892	0	0.806572
MAR09802	0	133.353
MAR03899	-175.062	175.062
MAR03903	0	0.01
MAR04109	-103.533	103.533
MAR04114	0	69.019
MAR04115	0	69.019
MAR04118	0	29.7629
MAR04172	0	63.2505
MAR04196	0	29.6374
MAR04197	0	49.4168
MAR04287	0	1045.29
MAR04690	0	0.01
MAR04693	-80.4052	80.4052
MAR06780	0	315.051
MAR06968	-48.7456	48.7456
MAR06969	-37.1685	37.1685
MAR06970	-175.062	175.062
MAR06971	-3.10882	3.10882
MAR06972	-3.10882	3.10882
MAR07641	0	6.21449
MAR07642	-1000	1000
MAR08626	0	0.0537411
MAR08628	0	37.1685
MAR03806	-155.38	155.38
MAR03807	-667.166	667.166
MAR03809	-73.9211	73.9211
MAR03816	0	908.592
MAR03819	-155.38	155.38
MAR03820	-155.38	155.38
MAR03832	0	1000
MAR03833	0	13.5205
MAR03835	0	13.5205
MAR03837	0	2.67272
MAR03895	0	0.303565
MAR03897	0	0.303565
MAR03956	-49.0223	49.0223
MAR03993	0	1.84027
MAR04073	0	5.37907
MAR04075	0	16.5741
MAR04077	0	16.5741
MAR04190	-1.84027	1.84027
MAR04191	0	0.859861
MAR04212	0	23.759
MAR04422	0	23.759
MAR04423	0	0.740238
MAR04424	0	182.285
MAR04583	-126.504	126.504
MAR04605	0	1012.72
MAR04606	0	0.088564
MAR04607	0	18.0282
MAR04776	0	1.28143
MAR04777	0	1.28143
MAR04778	0	13.5205
MAR04779	0	13.5205
MAR04780	0	13.5205
MAR04781	0	13.5205
MAR04784	0	155.38
MAR04785	0	155.38
MAR04786	0	269.034
MAR04787	0	85.9369
MAR05384	0	6.41791
MAR06929	-35.686	35.686
MAR06930	-35.686	35.686
MAR06931	0	0.740238
MAR06932	0	0.740238
MAR06933	0	0.740238
MAR06934	0	0.740238
MAR06935	0	0.740238
MAR06936	0	0.740238
MAR06938	-35.686	35.686
MAR06939	-35.686	35.686
MAR06940	-1000	1000
MAR06941	0	0.740238
MAR06942	0	0.740238
MAR06943	0	0.740238
MAR06944	0	0.740238
MAR06945	0	0.740238
MAR06946	0	0.740238
MAR06947	0	0.740238
MAR06948	0	0.740238
MAR06949	0	0.740238
MAR06950	0	0.740238
MAR06951	0	0.740238
MAR06952	0	0.740238
MAR06953	0	159.777
MAR06954	0	159.777
MAR06955	-1000	1000
MAR06956	-1000	1000
MAR06957	-1000	1000
MAR06958	0	9.95798
MAR06959	0	9.95798
MAR06960	-1000	1000
MAR06961	0	9.95798
MAR06962	0	9.95798
MAR06963	0	9.95798
MAR06964	0	9.95798
MAR06965	-6.60059	6.60059
MAR06966	-6.60059	6.60059
MAR06967	-6.60059	6.60059
MAR06973	-159.777	159.777
MAR08096	-155.38	155.38
MAR08097	-155.38	155.38
MAR08098	0	245.593
MAR08416	0	48.7456
MAR08425	-14.2646	14.2646
MAR08426	0	0.739562
MAR08427	-4.04583	4.04583
MAR08431	0	1000
MAR08432	0	317.249
MAR08603	0	35.686
MAR08604	0	77.2338
MAR08605	0	1012.72
MAR08606	0	0.740238
MAR08607	0	1000
MAR08608	0	0.01
MAR08609	0	2.67272
MAR08610	0	119.999
MAR08611	0	119.999
MAR04285	0	13.8982
MAR00457	0	66.2662
MAR00460	0	66.2662
MAR03750	-28.2918	28.2918
MAR03752	-104.407	104.407
MAR03770	-52.5027	52.5027
MAR03771	-28.2918	28.2918
MAR03772	-28.2918	28.2918
MAR03782	-28.2918	28.2918
MAR03784	-104.407	104.407
MAR03794	-48.7456	48.7456
MAR03839	-16.3439	16.3439
MAR03841	-1.79524	1.79524
MAR03843	0	19.4267
MAR03845	-63.9222	63.9222
MAR03847	-18.4274	18.4274
MAR03849	0	317.249
MAR03852	0	0.159993
MAR03856	0	205.638
MAR03860	0	1000
MAR03883	0	154.853
MAR03901	0	1327.04
MAR03939	-73.8952	73.8952
MAR03974	0	154.853
MAR04198	0	381.689
MAR04199	-14.2646	14.2646
MAR04200	0	154.853
MAR04284	0	1000
MAR04348	0	154.853
MAR04466	0	49.2009
MAR04467	0	381.689
MAR04582	-2.79768	2.79768
MAR04584	-4.04583	4.04583
MAR04696	0	47.6721
MAR04697	0	161.1
MAR04698	0	161.1
MAR04699	0	1599.26
MAR04700	-160.335	160.335
MAR04742	0	73.8952
MAR04788	0	381.689
MAR04789	0	0.01
MAR04791	0	381.689
MAR04792	-77.7235	77.7235
MAR04937	-8.64658	8.64658
MAR05392	0	73.3726
MAR05393	0	6.09019
MAR06409	-52.6141	52.6141
MAR07702	-205.638	205.638
MAR07703	0	31.9953
MAR08433	0	46.3229
MAR08434	0	24.8471
MAR08439	0	160.335
MAR08440	0	161.1
MAR08441	0	47.6721
MAR08442	0	1000
MAR09718	0	1000
MAR09486	0	0.427393
MAR04426	-42.0188	42.0188
MAR04428	0	26.7027
MAR04429	0	5.54898
MAR04430	0	77.2338
MAR04431	0	1.87701
MAR04437	0	140.621
MAR04658	-157.673	157.673
MAR04660	0	106.995
MAR04712	0	142.76
MAR05336	-68.8802	68.8802
MAR05337	-14.2608	14.2608
MAR05338	0	325.065
MAR05339	-68.8802	68.8802
MAR05340	0	68.8802
MAR08783	0	0.740238
MAR08784	0	1012.72
MAR08786	0	1012.72
MAR04241	-18.2346	18.2346
MAR04288	0	98.7886
MAR04596	-37.944	37.944
MAR04597	-37.944	37.944
MAR04599	0	52.0358
MAR04667	0	98.7886
MAR04668	0	98.7886
MAR04737	0	161.1
MAR04739	0	161.1
MAR04740	-1000	1000
MAR06415	0	82.2711
MAR06974	0	1000
MAR06975	0	18.2346
MAR06976	0	18.2346
MAR06977	0	18.2346
MAR06978	0	7.84998
MAR06979	0	0.01
MAR06980	0	77.7235
MAR06981	0	190.467
MAR06982	0	23.6561
MAR06983	0	19.8551
MAR06984	0	17.1567
MAR06985	0	10.5152
MAR08017	0	1000
MAR08018	0	1000
MAR08019	0	1000
MAR08021	0	105.14
MAR08025	0	18.2346
MAR08026	0	18.2346
MAR08027	0	18.2346
MAR08029	0	7.84998
MAR03164	0	124.964
MAR03166	0	117.441
MAR03885	-137.61	137.61
MAR04250	0	1000
MAR08091	0	26.7027
MAR08092	0	77.2338
MAR08563	0	1012.72
MAR08566	0	341.122
MAR03935	-233.1	233.1
MAR04681	0	26.7027
MAR04682	0	77.2338
MAR04683	0	1.87701
MAR04685	0	1.87701
MAR04686	-1.87701	1.87701
MAR04687	-1.87701	1.87701
MAR04702	0	1000
MAR04703	0	9.47012
MAR04704	0	9.47012
MAR06988	0	0.37169
MAR07689	0	241.064
MAR07701	0	0.01
MAR08094	0	241.064
MAR08529	0	0.740238
MAR08530	-515.294	515.294
MAR08533	0	0.01
MAR08534	0	241.064
MAR08535	0	241.064
MAR08537	0	0.01
MAR08541	0	0.01
MAR08542	0	0.01
MAR08543	0	0.37169
MAR08544	0	0.37169
MAR08630	0	0.01
MAR08540	0	1000
MAR03206	0	153.477
MAR03208	0	19.9613
MAR03213	0	41.6477
MAR03215	0	32.271
MAR03747	0	0.01
MAR03744	0	21.6917
MAR03757	0	283.247
MAR03761	0	132.332
MAR03777	0	0.01
MAR03778	0	21.6917
MAR03795	0	132.332
MAR04797	0	1012.72
MAR06417	-22.8155	22.8155
MAR06419	0	0.01
MAR06420	0	22.8155
MAR06421	0	0.01
MAR06422	0	22.8155
MAR06923	0	0.01
MAR03765	0	21.6917
MAR06924	0	12.3413
MAR06925	-243.009	243.009
MAR06926	-20.7767	20.7767
MAR06927	-20.7767	20.7767
MAR08088	-80.4052	80.4052
MAR08787	0	30.1062
MAR03743	-28.2918	28.2918
MAR04214	0	270.168
MAR04216	0	25.556
MAR04218	0	31.6292
MAR04219	0	25.556
MAR04220	-47.5261	47.5261
MAR04222	0	49.4168
MAR04224	0	31.6292
MAR04225	0	31.6292
MAR04227	0	784.562
MAR04231	0	1.81344
MAR04232	-1000	1000
MAR04233	0	1000
MAR04235	0	1000
MAR04243	0	191.746
MAR04244	0	49.4168
MAR04245	0	1000
MAR04246	-49.4168	49.4168
MAR04248	-1000	1000
MAR06707	0	26.7027
MAR06708	-1000	1000
MAR06709	-1000	1000
MAR06711	0	155.164
MAR06712	-1000	1000
MAR06713	0	77.2338
MAR06714	0	1012.72
MAR06715	0	207.276
MAR06716	0	12.3413
MAR06717	0	25.556
MAR06718	0	26.7027
MAR06719	0	77.2338
MAR06720	0	1000
MAR06721	0	1000
MAR06722	-0.01	0.01
MAR06723	-1230.91	1230.91
MAR06725	-315.051	315.051
MAR06726	0	2381.23
MAR06727	0	152.48
MAR06728	0	0.01
MAR06729	0	0.01
MAR06730	0	207.276
MAR06731	0	26.7027
MAR06734	-1000	1000
MAR06735	0	207.276
MAR06736	0	207.276
MAR06738	-1000	1000
MAR06739	0	207.276
MAR06740	0	26.7027
MAR06741	0	0.01
MAR06742	-1000	1000
MAR06743	0	0.01
MAR06744	-1000	1000
MAR06745	0	77.2338
MAR06746	0	207.276
MAR06747	0	77.2338
MAR06748	0	1.87701
MAR06749	0	1.87701
MAR06750	0	207.276
MAR06751	0	77.2338
MAR06752	0	77.2338
MAR06753	0	1.87701
MAR06754	0	1.87701
MAR06755	-207.276	207.276
MAR06756	-515.294	515.294
