rxn	LB	UB
MAR03905	0	883.468
MAR03907	0	208.858
MAR04097	0	25.3494
MAR04099	0	3.68545
MAR04108	0	25.3494
MAR04133	0	25.3494
MAR04281	-407.521	407.521
MAR04388	-407.521	407.521
MAR04283	0	2.43956
MAR08357	0	962.681
MAR04379	0	24.1666
MAR04301	0	24.1666
MAR04355	0	1844.42
MAR04358	0	136.779
MAR04363	-135.111	135.111
MAR04365	-62.3406	62.3406
MAR04368	-136.186	136.186
MAR04370	0	3.61871
MAR04371	0	62.3406
MAR04372	0	3.61871
MAR04373	-632.058	632.058
MAR04375	-1844.42	1844.42
MAR04377	0	535.185
MAR04381	-108.197	108.197
MAR04391	-303.192	303.192
MAR04394	0	120.058
MAR04396	-101.759	101.759
MAR04521	0	56.9565
MAR06412	0	5.40837
MAR07745	-51.9927	51.9927
MAR07747	0	6.10793
MAR08360	0	897.892
MAR08652	0	56.9565
MAR08757	0	3388.27
MAR03989	0	31.637
MAR04122	0	23.3744
MAR04837	0	15.1787
MAR05395	0	4.38074
MAR05396	0	50.8285
MAR09727	0	54.6311
MAR05397	0	27.2939
MAR05398	0	100.619
MAR05399	0	13.699
MAR05400	0	13.699
MAR05401	0	100.619
MAR08568	0	167.127
MAR08569	0	167.127
MAR08570	0	167.127
MAR08571	0	167.127
MAR08572	0	167.127
MAR08573	0	167.127
MAR08574	0	167.127
MAR08575	0	167.127
MAR08576	0	167.127
MAR08577	0	167.127
MAR08578	0	167.127
MAR08579	0	167.127
MAR08581	0	167.127
MAR08591	0	19.2192
MAR08592	0	31.637
MAR08580	0	167.127
MAR08582	0	167.127
MAR08587	0	19.2192
MAR08589	0	31.637
MAR08583	0	19.2192
MAR08584	0	0.01
MAR08585	0	0.779138
MAR03944	0	144.911
MAR04128	-6.78371	6.78371
MAR04130	0	40.3593
MAR04131	-24.4638	24.4638
MAR04132	0	24.4638
MAR04303	0	31.637
MAR04414	0	40.3593
MAR04415	0	0.0582069
MAR04416	0	143.511
MAR04774	-24.1666	24.1666
MAR04775	-24.1666	24.1666
MAR04831	-1000	1000
MAR04832	-0.0582069	0.0582069
MAR07674	0	12.0172
MAR08761	0	314.093
MAR08762	-1844.42	1844.42
MAR08764	0	0.0582069
MAR08766	-6.21327	6.21327
MAR08767	0	24.4638
MAR00454	0	1000
MAR04297	0	10.84
MAR04310	0	314.093
MAR04315	-383.144	383.144
MAR04316	-6.21327	6.21327
MAR04317	0	33.4642
MAR04318	0	33.4642
MAR04319	0	2.23252
