rxn	LB	UB
MAR03905	0	731.625
MAR03907	0	183.257
MAR04097	0	26.161
MAR04099	0	21.4154
MAR04108	0	26.161
MAR04133	0	26.161
MAR04281	-1455.94	1455.94
MAR04388	-1455.94	1455.94
MAR04283	0	2.26746
MAR08357	0	793.926
MAR04379	0	14.0236
MAR04301	0	14.0236
MAR04355	0	1933.85
MAR04358	0	38.7403
MAR04363	-317.675	317.675
MAR04365	-49.9961	49.9961
MAR04368	-149.171	149.171
MAR04370	0	7.36114
MAR04371	0	49.9961
MAR04372	0	7.36114
MAR04373	-855.219	855.219
MAR04375	-1933.85	1933.85
MAR04377	0	498.339
MAR04381	-145.063	145.063
MAR04391	-348.575	348.575
MAR04394	0	7.93467
MAR04396	-90.2053	90.2053
MAR04521	0	123.184
MAR06412	0	5.0156
MAR07745	-26.2807	26.2807
MAR07747	0	5.42779
MAR08360	0	543.688
MAR08652	0	123.184
MAR08757	0	1718.77
MAR03989	0	67.927
MAR04122	0	28.714
MAR04837	0	15.8984
MAR05395	0	3.44557
MAR05396	0	76.9197
MAR09727	0	76.9197
MAR05397	0	29.7734
MAR05398	0	90.1955
MAR05399	0	6.51371
MAR05400	0	6.51371
MAR05401	0	90.1955
MAR08568	0	108.896
MAR08569	0	108.896
MAR08570	0	108.896
MAR08571	0	108.896
MAR08572	0	108.896
MAR08573	0	108.896
MAR08574	0	108.896
MAR08575	0	108.896
MAR08576	0	108.896
MAR08577	0	108.896
MAR08578	0	108.896
MAR08579	0	108.896
MAR08581	0	108.896
MAR08591	0	13.1927
MAR08592	0	67.927
MAR08580	0	108.896
MAR08582	0	108.896
MAR08587	0	13.1927
MAR08589	0	67.927
MAR08583	0	13.1927
MAR08584	0	0.01
MAR08585	0	0.699909
MAR03944	0	65.304
MAR04128	-8.60711	8.60711
MAR04130	0	42.3214
MAR04131	-26.4687	26.4687
MAR04132	0	26.4687
MAR04303	0	67.927
MAR04414	0	42.3214
MAR04415	0	0.01
MAR04416	0	150.952
MAR04774	-14.0236	14.0236
MAR04775	-14.0236	14.0236
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	13.5912
MAR08761	0	87.8123
MAR08762	-1933.85	1933.85
MAR08764	0	0.01
MAR08766	-7.77858	7.77858
MAR08767	0	26.4687
MAR00454	0	1000
MAR04297	0	6.7015
MAR04310	0	87.8123
MAR04315	-302.123	302.123
MAR04316	-7.77858	7.77858
MAR04317	0	38.054
MAR04318	0	38.054
MAR04319	0	2.40933
MAR04320	0	38.054
MAR04356	0	1933.85
MAR04383	-8.63228	8.63228
MAR04385	0	20.4056
MAR04386	0	15.2891
MAR04387	0	7.83337
MAR04399	0	0.776431
MAR04400	0	18.2054
MAR04401	0	2.88088
MAR04402	-2.63989	2.63989
MAR04403	0	1000
MAR04490	0	2.40933
MAR04706	0	6.7015
MAR08768	0	18.2054
MAR04590	0	108.143
MAR04591	0	67.9698
MAR04592	-7.77858	7.77858
MAR04593	0	302.123
MAR04594	0	37.7135
MAR04595	-38.282	38.282
MAR08341	0	183.257
MAR08342	-1000	1000
MAR08344	-183.257	183.257
MAR08352	-11.5884	11.5884
MAR08353	-1000	1000
MAR08726	0	14.118
MAR08727	0	14.6642
MAR08728	0	1000
MAR08729	0	1.62751
MAR06537	-183.257	183.257
MAR01568	0	2.26746
MAR03853	0	93.5433
MAR03854	0	7.77858
MAR03855	0	7.77858
MAR03857	0	131.513
MAR03859	0	41.5761
MAR04087	0	1.06588
MAR04089	0	70.102
MAR04091	0	1.06588
MAR04093	0	66.0763
MAR04095	0	66.0763
MAR04101	0	1664.8
MAR04103	0	1.2504
MAR04143	0	236.483
MAR04193	0	38.7403
MAR08497	0	183.257
MAR08498	0	1718.77
MAR08499	0	1718.77
MAR08500	0	183.257
MAR08501	0	181.35
MAR08502	-731.625	731.625
MAR08503	0	202.802
MAR08504	0	793.926
MAR08506	0	793.926
MAR08507	0	731.625
MAR08508	0	731.625
MAR08509	0	183.257
MAR08511	0	131.513
MAR08512	-41.5761	41.5761
MAR08514	0	41.5761
MAR08516	0	9.02761
MAR08517	0	1000
MAR04280	-1.2536	1.2536
MAR00153	0	26.161
MAR03212	0	273.513
MAR03797	0	26.161
MAR03800	0	17.822
MAR04105	0	98.6062
MAR04106	0	98.6062
MAR04107	0	98.6062
MAR04282	0	104.435
MAR04331	-26.161	26.161
MAR04459	0	26.161
MAR04460	0	26.161
MAR04464	0	1000
MAR04497	0	248.985
MAR04741	0	46.2862
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-253.269	253.269
MAR00718	0	8.32156
MAR00719	0	0.690599
MAR01434	-68.4426	68.4426
MAR01436	0	7.66897
MAR03163	0	273.513
MAR04461	-259.991	259.991
MAR04604	0	66.0298
MAR05351	-1.2536	1.2536
MAR07709	-85.4649	85.4649
MAR04052	0	18.1388
MAR04304	0	2.71243
MAR04350	-14.118	14.118
MAR04351	-3.57509	3.57509
MAR04352	-3.57509	3.57509
MAR04354	-90.2053	90.2053
MAR04398	-27.7926	27.7926
MAR04404	-32.0223	32.0223
MAR04473	0	19.4599
MAR04474	0	19.4599
MAR04476	-10.3206	10.3206
MAR04477	-3.99301	3.99301
MAR04501	-32.0223	32.0223
MAR04565	-81.366	81.366
MAR04567	0	14.0236
MAR09799	-14.437	14.437
