rxn	LB	UB
MAR03905	0	854.172
MAR03907	0	222.048
MAR04097	0	114.375
MAR04099	0	4.29146
MAR04108	0	114.375
MAR04133	0	114.375
MAR04281	-385.625	385.625
MAR04388	-385.625	385.625
MAR04283	0	4.92652
MAR08357	0	815.184
MAR04379	0	12.6717
MAR04301	0	12.6717
MAR04355	0	1395.94
MAR04358	0	31.043
MAR04363	-198.777	198.777
MAR04365	-78.813	78.813
MAR04368	-182.833	182.833
MAR04370	0	7.24368
MAR04371	0	78.813
MAR04372	0	7.24368
MAR04373	-686.712	686.712
MAR04375	-1395.94	1395.94
MAR04377	0	406.35
MAR04381	-88.7906	88.7906
MAR04391	-430.562	430.562
MAR04394	0	20.1995
MAR04396	-84.1092	84.1092
MAR04521	0	67.719
MAR06412	0	3.70671
MAR07745	-34.7088	34.7088
MAR07747	0	3.31057
MAR08360	0	512.808
MAR08652	0	67.719
MAR08757	0	1504.52
MAR03989	0	38.2961
MAR04122	0	23.963
MAR04837	0	7.1524
MAR05395	0	3.74602
MAR05396	0	18.3226
MAR09727	0	32.0208
MAR05397	0	19.1017
MAR05398	0	68.8561
MAR05399	0	3.81375
MAR05400	0	3.81375
MAR05401	0	68.8561
MAR08568	0	92.7463
MAR08569	0	92.7463
MAR08570	0	92.7463
MAR08571	0	92.7463
MAR08572	0	92.7463
MAR08573	0	92.7463
MAR08574	0	92.7463
MAR08575	0	92.7463
MAR08576	0	92.7463
MAR08577	0	92.7463
MAR08578	0	92.7463
MAR08579	0	92.7463
MAR08581	0	92.7463
MAR08591	0	10.5871
MAR08592	0	38.2961
MAR08580	0	92.7463
MAR08582	0	92.7463
MAR08587	0	10.5871
MAR08589	0	38.2961
MAR08583	0	10.5871
MAR08584	0	0.01
MAR08585	0	0.475257
MAR03944	0	40.282
MAR04128	-7.19606	7.19606
MAR04130	0	47.7689
MAR04131	-29.1773	29.1773
MAR04132	0	29.1773
MAR04303	0	38.2961
MAR04414	0	47.7689
MAR04415	0	0.01
MAR04416	0	143.439
MAR04774	-12.6717	12.6717
MAR04775	-12.6717	12.6717
MAR04831	-1000	1000
MAR04832	-0.01	0.01
